"Route","Year","Shannon","Lati","Longi","o$GEOID","o$NAME"
11,2008,3.41456460629231,41.2506217,-82.2354939,"39093","Lorain"
11,2005,3.37736237285158,41.2506217,-82.2354939,"39093","Lorain"
15,2010,3.26053749063187,41.1788496,-81.002582,"39155","Trumbull"
15,2003,3.18069613382926,41.1788496,-81.002582,"39155","Trumbull"
15,2006,3.26089763429775,41.1788496,-81.002582,"39155","Trumbull"
15,2009,3.10377478857465,41.1788496,-81.002582,"39155","Trumbull"
15,2000,3.3198648944953,41.1788496,-81.002582,"39155","Trumbull"
15,2007,3.34255215109803,41.1788496,-81.002582,"39155","Trumbull"
15,2011,3.22437871169508,41.1788496,-81.002582,"39155","Trumbull"
15,2004,3.3262410342132,41.1788496,-81.002582,"39155","Trumbull"
15,2012,3.06492501701672,41.1788496,-81.002582,"39155","Trumbull"
15,2013,2.95187517722994,41.1788496,-81.002582,"39155","Trumbull"
15,2001,3.38570273771955,41.1788496,-81.002582,"39155","Trumbull"
15,2005,3.22095934406403,41.1788496,-81.002582,"39155","Trumbull"
15,2008,3.29202606000986,41.1788496,-81.002582,"39155","Trumbull"
15,2002,3.11902684174139,41.1788496,-81.002582,"39155","Trumbull"
17,2005,3.30104330493404,41.4687714,-81.0750897,"39055","Geauga"
17,2010,3.08370584858291,41.4687714,-81.0750897,"39055","Geauga"
17,2006,3.28962275196708,41.4687714,-81.0750897,"39055","Geauga"
17,2012,3.14424567110141,41.4687714,-81.0750897,"39055","Geauga"
17,2003,3.08231575931682,41.4687714,-81.0750897,"39055","Geauga"
17,2009,3.22331527049,41.4687714,-81.0750897,"39055","Geauga"
17,2011,3.20928361165221,41.4687714,-81.0750897,"39055","Geauga"
17,2013,3.0962636085985,41.4687714,-81.0750897,"39055","Geauga"
17,2004,3.07337287085123,41.4687714,-81.0750897,"39055","Geauga"
17,2008,3.25929561206617,41.4687714,-81.0750897,"39055","Geauga"
17,2007,3.09257936600781,41.4687714,-81.0750897,"39055","Geauga"
21,2013,3.4929684528266,41.6803821,-80.7420743,"39007","Ashtabula"
21,2011,3.5359788436925,41.6803821,-80.7420743,"39007","Ashtabula"
21,2010,3.46468289639654,41.6803821,-80.7420743,"39007","Ashtabula"
21,2000,3.47337472181558,41.6803821,-80.7420743,"39007","Ashtabula"
21,2006,3.55856837234522,41.6803821,-80.7420743,"39007","Ashtabula"
21,2003,3.50532249639119,41.6803821,-80.7420743,"39007","Ashtabula"
21,2009,3.55125727269212,41.6803821,-80.7420743,"39007","Ashtabula"
21,2012,3.48101357044563,41.6803821,-80.7420743,"39007","Ashtabula"
21,2005,3.50005533171847,41.6803821,-80.7420743,"39007","Ashtabula"
21,2007,3.44627648822534,41.6803821,-80.7420743,"39007","Ashtabula"
21,2004,3.55076891413871,41.6803821,-80.7420743,"39007","Ashtabula"
21,2001,3.50083201685892,41.6803821,-80.7420743,"39007","Ashtabula"
21,2008,3.46844570820272,41.6803821,-80.7420743,"39007","Ashtabula"
21,2002,3.39683140348019,41.6803821,-80.7420743,"39007","Ashtabula"
22,2000,3.25397256371604,41.3710349,-80.9900079,"39155","Trumbull"
22,2010,3.07741582559403,41.3710349,-80.9900079,"39155","Trumbull"
22,2004,3.06149384774927,41.3710349,-80.9900079,"39155","Trumbull"
22,2012,3.16028050520197,41.3710349,-80.9900079,"39155","Trumbull"
22,2001,3.38578858752153,41.3710349,-80.9900079,"39155","Trumbull"
22,2003,3.17891442863611,41.3710349,-80.9900079,"39155","Trumbull"
22,2002,3.13205661414931,41.3710349,-80.9900079,"39155","Trumbull"
22,2005,3.09346319085859,41.3710349,-80.9900079,"39155","Trumbull"
22,2013,3.11908534020837,41.3710349,-80.9900079,"39155","Trumbull"
22,2006,3.13031412953576,41.3710349,-80.9900079,"39155","Trumbull"
22,2011,3.19677145249835,41.3710349,-80.9900079,"39155","Trumbull"
22,2007,3.22330044303682,41.3710349,-80.9900079,"39155","Trumbull"
24,2001,2.98731479377432,40.4824537,-84.1838359,"39011","Auglaize"
24,2005,2.95343087876123,40.4824537,-84.1838359,"39011","Auglaize"
24,2000,3.02925626750901,40.4824537,-84.1838359,"39011","Auglaize"
24,2010,2.9942597150419,40.4824537,-84.1838359,"39011","Auglaize"
24,2003,2.70723629494492,40.4824537,-84.1838359,"39011","Auglaize"
24,2013,3.05522710330282,40.4824537,-84.1838359,"39011","Auglaize"
24,2012,3.14340042418377,40.4824537,-84.1838359,"39011","Auglaize"
24,2004,3.04820966662756,40.4824537,-84.1838359,"39011","Auglaize"
24,2011,3.03789423975962,40.4824537,-84.1838359,"39011","Auglaize"
24,2002,3.18710879783522,40.4824537,-84.1838359,"39011","Auglaize"
25,2012,2.96310470102102,40.9809757,-84.1972889,"39137","Putnam"
25,2013,2.87861978170606,40.9809757,-84.1972889,"39137","Putnam"
25,2001,2.66864811571582,40.9809757,-84.1972889,"39137","Putnam"
25,2009,2.45726012885773,40.9809757,-84.1972889,"39137","Putnam"
25,2010,2.84843990114702,40.9809757,-84.1972889,"39137","Putnam"
25,2005,2.55144287138902,40.9809757,-84.1972889,"39137","Putnam"
25,2007,2.57600552201095,40.9809757,-84.1972889,"39137","Putnam"
25,2000,2.63281196284251,40.9809757,-84.1972889,"39137","Putnam"
25,2011,3.07636174128415,40.9809757,-84.1972889,"39137","Putnam"
25,2003,2.45936554460218,40.9809757,-84.1972889,"39137","Putnam"
25,2006,2.50940982904476,40.9809757,-84.1972889,"39137","Putnam"
25,2004,2.51782425248434,40.9809757,-84.1972889,"39137","Putnam"
25,2002,2.6260952177832,40.9809757,-84.1972889,"39137","Putnam"
25,2008,2.49950648382475,40.9809757,-84.1972889,"39137","Putnam"
27,2012,3.04357982366404,40.2671711,-84.7793129,"39037","Darke"
27,2002,2.70847264579097,40.2671711,-84.7793129,"39037","Darke"
27,2010,2.57505859431228,40.2671711,-84.7793129,"39037","Darke"
27,2001,2.61237691426377,40.2671711,-84.7793129,"39037","Darke"
