Actinodura souliei,Streaked Barwing,H,H,U,L
Actinodura waldeni,Streak-throated Barwing,H,H,H,H
Actitis hypoleucos,Common Sandpiper,L,H,H,L
Actitis macularius,Spotted Sandpiper,L,L,L,L
Actophilornis africanus,African Jacana,L,L,L,L
Actophilornis albinucha,Madagascar Jacana,H,L,L,L
Adelomyia melanogenys,Speckled Hummingbird,H,H,L,L
Aechmophorus clarkii,Clark's Grebe,H,H,H,H
"Aechmophorus occidentalis",Western Grebe,H,H,H,H
Aegithalos caudatus,Long-tailed Tit,H,L,H,L
Aegithalos concinnus,Black-throated Tit,U,L,H,L
Aegithalos fuliginosus,White-necklaced Tit,U,U,H,L
Aegithalos iouschistos,Black-browed Tit,U,L,H,L
Aegithalos leucogenys,White-cheeked Tit,H,L,H,L
Aegithalos niveogularis,White-throated Tit,U,L,H,L
Aegithina lafresnayei,Great Iora,H,H,L,L
Aegithina nigrolutea,White-tailed Iora,U,L,U,L
Aegithina tiphia,Common Iora,U,L,L,L
Aegithina viridissima,Green Iora,H,H,H,H
Aegolius acadicus,Northern Saw-whet Owl,H,L,L,L
Aegolius funereus,Boreal Owl,H,L,H,L
Aegolius ridgwayi,Southern Saw-whet Owl,H,L,H,L
Aegotheles albertisi,Mountain Owlet-nightjar,H,U,H,L
Aegotheles archboldi,Archbold's Owlet-nightjar,H,U,H,L
Aegotheles bennettii,Barred Owlet-nightjar,H,U,L,L
Aegotheles crinifrons,"Long-whiskered Owlet-nightjar",H,U,H,L
Aegotheles cristatus,Australian Owlet-nightjar,H,L,L,L
Aegotheles insignis,Feline Owlet-nightjar,H,U,H,L
Aegotheles savesi,"New Caledonian Owlet-nightjar",H,H,H,H
Aegotheles tatei,Starry Owlet-nightjar,H,U,H,L
Aegotheles wallacii,Wallace's Owlet-nightjar,H,U,H,L
Aegypius monachus,Cinereous Vulture,H,H,H,H
"Aenigmatolimnas marginalis",Striped Crake,H,L,L,L
Aepypodius arfakianus,Wattled Brush-turkey,H,H,H,H
Aepypodius bruijnii,Bruijn's Brush-turkey,H,H,H,H
Aeronautes andecolus,Andean Swift,H,U,H,L
Aeronautes montivagus,White-tipped Swift,H,U,L,L
Aeronautes saxatalis,White-throated Swift,H,L,H,L
Aethia cristatella,Crested Auklet,H,H,H,H
Aethia psittacula,Parakeet Auklet,H,H,L,L
Aethia pusilla,Least Auklet,H,H,H,H
Aethia pygmaea,Whiskered Auklet,H,H,H,H
Aethopyga bella,Handsome Sunbird,U,U,U,L
Aethopyga boltoni,Apo Sunbird,U,H,H,L
Aethopyga christinae,Fork-tailed Sunbird,H,L,H,L
Aethopyga duyvenbodei,Elegant Sunbird,H,H,H,H
Aethopyga eximia,White-flanked Sunbird,U,U,H,L
Aethopyga flagrans,Flaming Sunbird,H,U,U,L
Aethopyga gouldiae,Gould's Sunbird,U,L,H,L
Aethopyga ignicauda,Fire-tailed Sunbird,U,L,U,L
Aethopyga linaraborae,Lina's Sunbird,H,H,H,H
Aethopyga mystacalis,Scarlet Sunbird,U,U,U,L
Aethopyga nipalensis,Green-tailed Sunbird,U,L,U,L
Aethopyga primigenia,Grey-hooded Sunbird,H,H,H,H
Aethopyga pulcherrima,Metallic-winged Sunbird,U,L,U,L
Aethopyga saturata,Black-throated Sunbird,U,H,U,L
Aethopyga shelleyi,Lovely Sunbird,U,L,U,L
Aethopyga siparaja,Crimson Sunbird,U,H,L,L
Afropavo congensis,Congo Peafowl,H,H,L,L
Agamia agami,Agami Heron,H,H,H,H
Agapornis canus,Grey-headed Lovebird,U,L,L,L
Agapornis fischeri,Fischer's Lovebird,L,L,H,L
Agapornis nigrigenis,Black-cheeked Lovebird,H,L,H,L
Agapornis personatus,Yellow-collared Lovebird,H,L,L,L
Agapornis pullarius,Red-headed Lovebird,H,L,H,L
Agapornis roseicollis,Rosy-faced Lovebird,H,L,H,L
Agapornis swindernianus,Black-collared Lovebird,H,U,H,L
Agapornis taranta,Black-winged Lovebird,U,L,L,L
Agelaioides badius,Bay-winged Cowbird,U,L,L,L
Agelaius assimilis,Red-shouldered Blackbird,U,H,H,L
Agelaius humeralis,Tawny-shouldered Blackbird,U,H,H,L
Agelaius phoeniceus,Red-winged Blackbird,H,H,L,L
Agelaius tricolor,Tricoloured Blackbird,H,L,H,L
Agelaius xanthomus,Yellow-shouldered Blackbird,H,H,H,H
Agelastes meleagrides,White-breasted Guineafowl,H,L,L,L
Agelastes niger,Black Guineafowl,H,U,H,L
Agelasticus cyanopus,Unicoloured Blackbird,H,L,L,L
Agelasticus thilius,Yellow-winged Blackbird,H,L,L,L
"Agelasticus xanthophthalmus",Pale-eyed Blackbird,H,U,H,L
Aglaeactis aliciae,Purple-backed Sunbeam,H,H,H,H
Aglaeactis castelnaudii,White-tufted Sunbeam,H,U,H,L
Aglaeactis cupripennis,Shining Sunbeam,U,H,H,L
Aglaeactis pamela,Black-hooded Sunbeam,U,U,H,L
Aglaiocercus berlepschi,Venezuelan Sylph,H,U,H,L
Aglaiocercus coelestis,Violet-tailed Sylph,U,H,H,L
Aglaiocercus kingi,Long-tailed Sylph,U,H,L,L
Agriornis albicauda,White-tailed Shrike-tyrant,H,U,H,L
Agriornis lividus,Great Shrike-tyrant,U,L,H,L
Agriornis micropterus,Grey-bellied Shrike-tyrant,H,L,L,L
Agriornis montanus,Black-billed Shrike-tyrant,U,L,U,L
Agriornis murinus,Lesser Shrike-tyrant,H,L,L,L
Ailuroedus buccoides,White-eared Catbird,H,H,U,L
Ailuroedus crassirostris,Green Catbird,H,H,L,L
Ailuroedus melanotis,Spotted Catbird,U,H,L,L
Aimophila aestivalis,Bachman's Sparrow,H,L,L,L
Aimophila botterii,Botteri's Sparrow,L,L,H,L
Aimophila carpalis,Rufous-winged Sparrow,H,L,H,L
Aimophila cassinii,Cassin's Sparrow,H,L,H,L
Aimophila humeralis,Black-chested Sparrow,H,L,H,L
Aimophila mystacalis,Bridled Sparrow,H,L,L,L
Aimophila notosticta,Oaxaca Sparrow,L,U,L,L
Aimophila quinquestriata,Five-striped Sparrow,H,L,H,L
Aimophila rufescens,Rusty Sparrow,L,L,L,L
Aimophila ruficauda,Stripe-headed Sparrow,L,L,L,L
Aimophila strigiceps,Stripe-capped Sparrow,H,L,L,L
Aimophila sumichrasti,Cinnamon-tailed Sparrow,L,U,H,L
Aix galericulata,Mandarin Duck,H,H,H,H
Aix sponsa,Wood Duck,H,H,L,L
Alaemon alaudipes,Greater Hoopoe-lark,H,L,H,L
Alaemon hamertoni,Lesser Hoopoe-lark,H,L,L,L
Alauda arvensis,Eurasian Skylark,H,L,H,L
Alauda gulgula,Oriental Skylark,U,L,H,L
Alauda japonica,Japanese Skylark,U,L,U,L
Alauda razae,Raso Lark,H,H,U,L
Alca torda,Razorbill,H,H,L,L
Alcedo argentata,Silvery Kingfisher,H,U,H,L
Alcedo atthis,Common Kingfisher,H,L,H,L
Alcedo azurea,Azure Kingfisher,U,L,U,L
Alcedo coerulescens,Small Blue Kingfisher,H,L,U,L
Alcedo cristata,Malachite Kingfisher,U,L,U,L
Alcedo cyanopectus,Indigo-banded Kingfisher,H,U,L,L
Alcedo euryzona,Blue-banded Kingfisher,H,L,H,L
Alcedo hercules,Blyth's Kingfisher,U,L,H,L
Alcedo leucogaster,White-bellied Kingfisher,H,H,H,H
Alcedo meninting,Blue-eared Kingfisher,U,L,U,L
Alcedo nais,Principe Kingfisher,H,U,L,L
Alcedo pusilla,Little Kingfisher,U,L,L,L
Alcedo quadribrachys,Shining Blue Kingfisher,H,L,H,L
Alcedo semitorquata,Half-collared Kingfisher,U,L,L,L
Alcedo thomensis,Sao Tome Kingfisher,H,U,L,L
Alcedo vintsioides,Madagascar Kingfisher,U,L,U,L
Alcedo websteri,Bismarck Kingfisher,H,U,H,L
Alcippe brunnea,Dusky Fulvetta,H,H,U,L
Alcippe brunneicauda,Brown Fulvetta,H,U,H,L
Alcippe castaneceps,Rufous-winged Fulvetta,H,H,H,H
Alcippe chrysotis,Golden-breasted Fulvetta,H,L,U,L
Alcippe cinerea,Yellow-throated Fulvetta,U,L,U,L
Alcippe cinereiceps,Grey-hooded Fulvetta,U,U,U,L
Alcippe dubia,Rusty-capped Fulvetta,H,H,U,L
Alcippe formosana,Taiwan Fulvetta,U,U,U,L
Alcippe grotei,Black-browed Fulvetta,U,L,U,L
Alcippe klossi,Black-crowned Fulvetta,H,H,U,L
Alcippe ludlowi,Ludlow's Fulvetta,U,U,H,L
Alcippe manipurensis,Streak-throated Fulvetta,U,U,U,L
Alcippe morrisonia,Grey-cheeked Fulvetta,U,L,U,L
Alcippe nipalensis,Nepal Fulvetta,U,L,U,L
Alcippe peracensis,Mountain Fulvetta,H,H,U,L
Alcippe ruficapilla,Spectacled Fulvetta,U,U,U,L
Alcippe rufogularis,Rufous-throated Fulvetta,U,L,U,L
Alcippe striaticollis,Chinese Fulvetta,H,L,U,L
Alcippe variegaticeps,Gold-fronted Fulvetta,H,H,L,L
Alcippe vinipectus,White-browed Fulvetta,U,L,U,L
Aleadryas rufinucha,Rufous-naped Whistler,U,H,U,L
Alectoris barbara,Barbary Partridge,H,L,H,L
Alectoris chukar,Chukar,H,H,H,H
Alectoris graeca,Rock Partridge,H,L,L,L
Alectoris magna,Rusty-necklaced Partridge,H,U,H,L
Alectoris melanocephala,Arabian Partridge,U,L,U,L
Alectoris philbyi,Philby's Partridge,H,L,H,L
Alectoris rufa,Red-legged Partridge,H,L,L,L
"Alectroenas madagascariensis",Madagascar Blue-pigeon,U,H,H,L
Alectroenas pulcherrima,Seychelles Blue-pigeon,H,H,L,L
Alectroenas sganzini,Comoro Blue-pigeon,H,H,H,H
Alectrurus risora,Strange-tailed Tyrant,H,L,H,L
Alectrurus tricolor,Cock-tailed Tyrant,H,U,L,L
Alectura lathami,Australian Brush-turkey,L,H,L,L
Alethe choloensis,Thyolo Alethe,H,H,L,L
Alethe diademata,White-tailed Alethe,H,H,L,L
Alethe fuelleborni,White-chested Alethe,H,H,L,L
Alethe poliocephala,Brown-chested Alethe,U,H,H,L
Alethe poliophrys,Red-throated Alethe,H,H,H,H
Alipiopsitta xanthops,Yellow-faced Amazon,H,H,L,L
Alisterus amboinensis,Moluccan King-parrot,U,H,U,L
Alisterus chloropterus,Papuan King-parrot,H,H,U,L
Alisterus scapularis,Australian King-parrot,H,H,L,L
Alle alle,Little Auk,H,H,L,L
Alophoixus affinis,Golden Bulbul,U,U,U,L
Alophoixus bres,Grey-cheeked Bulbul,U,H,U,L
Alophoixus finschii,Finsch's Bulbul,H,U,H,L
Alophoixus flaveolus,White-throated Bulbul,U,L,U,L
Alophoixus ochraceus,Ochraceous Bulbul,H,H,U,L
Alophoixus pallidus,Puff-throated Bulbul,H,H,U,L
"Alophoixus phaeocephalus",Yellow-bellied Bulbul,H,H,H,H
Alopochelidon fucata,Tawny-headed Swallow,U,L,L,L
Alopochen aegyptiaca,Egyptian Goose,L,H,L,L
Amadina erythrocephala,Red-headed Finch,H,L,H,L
Amadina fasciata,Cut-throat,U,U,H,L
Amalocichla incerta,Lesser Ground-robin,H,H,U,L
Amalocichla sclateriana,Greater Ground-robin,H,U,H,L
Amandava formosa,Green Avadavat,H,L,H,L
Amandava subflava,Zebra Waxbill,U,L,L,L
Amaurocichla bocagei,Sao Tome Short-tail,H,H,L,L
Amaurolimnas concolor,Uniform Crake,H,L,H,L
Amaurornis akool,Brown Crake,U,L,U,L
Amaurornis bicolor,Black-tailed Crake,U,L,U,L
Amaurornis flavirostra,Black Crake,L,L,L,L
Amaurornis isabellina,Isabelline Waterhen,U,U,H,L
Amaurornis magnirostris,Talaud Bush-hen,H,H,H,H
Amaurornis moluccana,Rufous-tailed Waterhen,U,L,U,L
Amaurornis olivacea,Bush-hen,U,L,U,L
Amaurornis olivieri,Sakalava Rail,H,H,L,L
Amaurornis phoenicurus,White-breasted Waterhen,U,L,U,L
Amaurospiza carrizalensis,Carrizal Seedeater,H,H,H,H
Amaurospiza concolor,Blue Seedeater,H,H,H,H
Amaurospiza moesta,Blackish-blue Seedeater,H,H,L,L
Amazilia amabilis,Blue-chested Hummingbird,U,H,L,L
Amazilia amazilia,Amazilia Hummingbird,H,H,H,H
Amazilia beryllina,Berylline Hummingbird,L,H,L,L
Amazilia boucardi,Mangrove Hummingbird,H,H,H,H
Amazilia brevirostris,White-chested Emerald,H,H,H,H
Amazilia candida,White-bellied Emerald,H,H,H,H
Amazilia castaneiventris,"Chestnut-bellied Hummingbird",H,H,H,H
Amazilia chionogaster,White-bellied Hummingbird,U,H,H,L
Amazilia cyanifrons,Indigo-capped Hummingbird,U,H,H,L
Amazilia cyanocephala,"Azure-crowned Hummingbird",L,H,H,L
Amazilia cyanura,Blue-tailed Hummingbird,L,U,H,L
Amazilia decora,Charming Hummingbird,U,H,H,L
Amazilia edward,"Snowy-breasted Hummingbird",U,H,H,L
Amazilia fimbriata,Glittering-throated Emerald,U,H,H,L
Amazilia franciae,Andean Emerald,H,H,H,H
Amazilia lactea,Sapphire-spangled Emerald,U,H,H,L
Amazilia leucogaster,Plain-bellied Emerald,H,H,H,H
Amazilia luciae,Honduran Emerald,H,H,H,H
Amazilia rosenbergi,"Purple-chested Hummingbird",H,H,H,H
Amazilia rutila,Cinnamon Hummingbird,L,H,H,L
Amazilia saucerrottei,Steely-vented Hummingbird,U,H,H,L
Amazilia tobaci,"Copper-rumped Hummingbird",U,H,H,L
Amazilia tzacatl,Rufous-tailed Hummingbird,L,H,L,L
Amazilia viridicauda,"Green-and-white Hummingbird",H,H,H,H
Amazilia viridifrons,Green-fronted Hummingbird,L,H,L,L
Amazilia viridigaster,Green-bellied Hummingbird,U,H,H,L
Amazilia yucatanensis,Buff-bellied Hummingbird,L,H,H,L
Amazona aestiva,Blue-fronted Amazon,U,H,L,L
Amazona agilis,Black-billed Amazon,H,H,H,H
Amazona albifrons,White-fronted Amazon,H,H,H,H
Amazona amazonica,Orange-winged Amazon,H,H,H,H
Amazona arausiaca,Red-necked Amazon,H,H,H,H
Amazona auropalliata,Yellow-naped Amazon,H,H,H,H
Amazona autumnalis,Red-lored Amazon,H,H,H,H
Amazona barbadensis,Yellow-shouldered Amazon,H,H,H,H
Amazona brasiliensis,Red-tailed Amazon,H,H,H,H
Amazona collaria,Yellow-billed Amazon,H,H,H,H
Amazona dufresniana,Blue-cheeked Amazon,H,H,H,H
Amazona farinosa,Mealy Amazon,H,H,H,H
Amazona festiva,Festive Amazon,H,H,H,H
Amazona finschi,Lilac-crowned Amazon,H,H,H,H
Amazona guildingii,St Vincent Amazon,H,H,H,H
Amazona imperialis,Imperial Amazon,H,H,H,H
Amazona kawalli,Kawall's Amazon,H,H,H,H
Amazona leucocephala,Cuban Amazon,U,H,H,L
Amazona mercenaria,Scaly-naped Amazon,U,H,L,L
Amazona ochrocephala,Yellow-crowned Amazon,H,H,H,H
Amazona oratrix,Yellow-headed Amazon,H,H,H,H
Amazona pretrei,Red-spectacled Amazon,H,H,L,L
Amazona rhodocorytha,Red-browed Amazon,H,H,H,H
Amazona tucumana,Tucuman Amazon,H,H,H,H
Amazona ventralis,Hispaniolan Amazon,H,H,H,H
Amazona versicolor,St Lucia Amazon,H,H,H,H
Amazona vinacea,Vinaceous Amazon,H,H,L,L
Amazona viridigenalis,Red-crowned Amazon,H,H,H,H
Amazona vittata,Puerto Rican Amazon,H,H,H,H
Amazona xantholora,Yellow-lored Amazon,H,H,H,H
Amazonetta brasiliensis,Brazilian Teal,L,H,L,L
Amblycercus holosericeus,Yellow-billed Cacique,L,H,L,L
Amblyornis flavifrons,Golden-fronted Bowerbird,H,H,H,H
Amblyornis inornata,Vogelkop Bowerbird,H,H,H,H
Amblyornis macgregoriae,Macgregor's Bowerbird,H,H,H,H
Amblyornis subalaris,Streaked Bowerbird,H,H,H,H
Amblyospiza albifrons,Grosbeak Weaver,U,U,H,L
Amblyramphus,Scarlet-headed Blackbird,H,L,L,L
Ammodramus aurifrons,Yellow-browed Sparrow,H,L,L,L
Ammodramus bairdii,Baird's Sparrow,H,L,H,L
Ammodramus caudacutus,"Saltmarsh Sharp-tailed Sparrow",H,L,H,L
Ammodramus henslowii,Henslow's Sparrow,H,L,L,L
Ammodramus humeralis,Grassland Sparrow,U,L,L,L
Ammodramus leconteii,Le Conte's Sparrow,H,L,L,L
Ammodramus maritimus,Seaside Sparrow,H,L,H,L
Ammodramus nelsoni,"Nelson's Sharp-tailed Sparrow",H,L,L,L
"Ammodramus savannarum",Grasshopper Sparrow,H,L,L,L
Ammomanes cinctura,Bar-tailed Lark,H,L,H,L
Ammomanes deserti,Desert Lark,H,L,H,L
Ammomanes grayi,Gray's Lark,H,H,H,H
Ammomanes phoenicura,Rufous-tailed Lark,U,L,U,L
Ammoperdix griseogularis,See-see Partridge,H,L,H,L
Ammoperdix heyi,Sand Partridge,U,L,U,L
Ampeliceps coronatus,Golden-crested Myna,H,L,U,L
Ampelioides tschudii,Scaled Fruiteater,H,U,H,L
Ampelion rubrocristatus,Red-crested Cotinga,U,U,H,L
Ampelion rufaxilla,Chestnut-crested Cotinga,H,U,L,L
Amphilais seebohmi,Grey Emu-tail,U,H,H,L
Amphispiza belli,Sage Sparrow,H,L,H,L
Amphispiza bilineata,Black-throated Sparrow,H,L,H,L
Amytornis barbatus,Grey Grasswren,H,H,L,L
Amytornis dorotheae,Carpentarian Grasswren,L,H,L,L
Amytornis goyderi,Eyrean Grasswren,H,H,H,H
Amytornis housei,Black Grasswren,U,H,L,L
Amytornis merrotsyi,Short-tailed Grasswren,U,H,U,L
Amytornis purnelli,Dusky Grasswren,U,H,U,L
Amytornis striatus,Striated Grasswren,H,H,H,H
Amytornis textilis,Thick-billed Grasswren,U,H,U,L
Amytornis woodwardi,White-throated Grasswren,H,H,L,L
Anabacerthia amaurotis,"White-browed Foliage-gleaner",H,H,L,L
Anabacerthia striaticollis,Montane Foliage-gleaner,H,H,L,L
"Anabacerthia variegaticeps","Scaly-throated Foliage-gleaner",H,H,L,L
Anabazenops dorsalis,"Dusky-cheeked Foliage-gleaner",H,U,H,L
Anabazenops fuscus,"White-collared Foliage-gleaner",H,H,L,L
Anairetes agilis,Agile Tit-tyrant,H,U,H,L
Anairetes agraphia,Unstreaked Tit-tyrant,H,U,H,L
Anairetes fernandezianus,Juan Fernandez Tit-tyrant,H,H,H,H
Anairetes flavirostris,Yellow-billed Tit-tyrant,H,L,L,L
Anairetes nigrocristatus,Maranon Tit-tyrant,H,U,H,L
Anairetes parulus,Tufted Tit-tyrant,U,L,L,L
Anairetes reguloides,Pied-crested Tit-tyrant,H,U,H,L
Anaplectes rubriceps,Red-headed Weaver,U,U,L,L
Anarhynchus frontalis,Wrybill,H,H,H,H
Anas acuta,Northern Pintail,H,H,H,H
Anas americana,American Wigeon,H,H,L,L
Anas aucklandica,Auckland Islands Teal,H,H,H,H
Anas bahamensis,White-cheeked Pintail,U,H,U,L
Anas bernieri,Madagascar Teal,H,H,L,L
Anas capensis,Cape Teal,H,H,L,L
Anas castanea,Chestnut Teal,H,H,U,L
Anas chlorotis,Brown Teal,H,H,H,H
Anas clypeata,Northern Shoveler,H,H,H,H
Anas crecca,Common Teal,H,H,H,H
Anas cyanoptera,Cinnamon Teal,L,H,L,L
Anas discors,Blue-winged Teal,L,H,L,L
Anas eatoni,Eaton's Pintail,H,H,U,L
Anas erythrorhyncha,Red-billed Duck,L,H,L,L
Anas falcata,Falcated Duck,H,H,H,H
Anas flavirostris,Speckled Teal,L,H,L,L
Anas formosa,Baikal Teal,L,H,H,L
Anas fulvigula,Mottled Duck,H,H,H,H
Anas georgica,Yellow-billed Pintail,U,H,U,L
Anas gibberifrons,Sunda Teal,H,H,H,H
Anas gracilis,Grey Teal,H,H,U,L
Anas hottentota,Hottentot Teal,L,H,L,L
