Route,Year,Shannon,Lati,Longi,GEOID,county
15,2005,3.220959344,41.1788496,-81.002582,39155,Trumbull
15,2008,3.29202606,41.1788496,-81.002582,39155,Trumbull
15,2002,3.119026842,41.1788496,-81.002582,39155,Trumbull
17,2005,3.301043305,41.4687714,-81.0750897,39055,Geauga
17,2010,3.083705849,41.4687714,-81.0750897,39055,Geauga
17,2006,3.289622752,41.4687714,-81.0750897,39055,Geauga
17,2012,3.144245671,41.4687714,-81.0750897,39055,Geauga
17,2003,3.082315759,41.4687714,-81.0750897,39055,Geauga
17,2009,3.22331527,41.4687714,-81.0750897,39055,Geauga
17,2011,3.209283612,41.4687714,-81.0750897,39055,Geauga
17,2013,3.096263609,41.4687714,-81.0750897,39055,Geauga
17,2004,3.073372871,41.4687714,-81.0750897,39055,Geauga
17,2008,3.259295612,41.4687714,-81.0750897,39055,Geauga
17,2007,3.092579366,41.4687714,-81.0750897,39055,Geauga
21,2013,3.492968453,41.6803821,-80.7420743,39007,Ashtabula
21,2011,3.535978844,41.6803821,-80.7420743,39007,Ashtabula
21,2010,3.464682896,41.6803821,-80.7420743,39007,Ashtabula
21,2000,3.473374722,41.6803821,-80.7420743,39007,Ashtabula
21,2006,3.558568372,41.6803821,-80.7420743,39007,Ashtabula
21,2003,3.505322496,41.6803821,-80.7420743,39007,Ashtabula
21,2009,3.551257273,41.6803821,-80.7420743,39007,Ashtabula
21,2012,3.48101357,41.6803821,-80.7420743,39007,Ashtabula
21,2005,3.500055332,41.6803821,-80.7420743,39007,Ashtabula
21,2007,3.446276488,41.6803821,-80.7420743,39007,Ashtabula
21,2004,3.550768914,41.6803821,-80.7420743,39007,Ashtabula
21,2001,3.500832017,41.6803821,-80.7420743,39007,Ashtabula
21,2008,3.468445708,41.6803821,-80.7420743,39007,Ashtabula
21,2002,3.396831403,41.6803821,-80.7420743,39007,Ashtabula
22,2000,3.253972564,41.3710349,-80.9900079,39155,Trumbull
22,2010,3.077415826,41.3710349,-80.9900079,39155,Trumbull
22,2004,3.061493848,41.3710349,-80.9900079,39155,Trumbull
22,2012,3.160280505,41.3710349,-80.9900079,39155,Trumbull
22,2001,3.385788588,41.3710349,-80.9900079,39155,Trumbull
22,2003,3.178914429,41.3710349,-80.9900079,39155,Trumbull
