"ID","Status","lat","lon"
20808,"Certified",40.4695014,-81.7787305
20834,"Certified",41.611483,-80.997827
20706,"Certified",40.435334,-81.7887159
20712,"Certified",41.476379,-81.026801
20713,"Certified",40.3299189,-82.1950449
20703,"Certified",40.410837,-81.762976
20661,"Certified",40.6767255,-81.8704168
20678,"Certified",40.2231348,-83.7287359
20596,"Certified",40.542124,-81.623816
20650,"Certified",40.9755137,-82.1290281
20654,"Certified",40.439573,-81.835215
21065,"Certified",40.406531,-82.128537
21062,"Certified",41.546206,-80.987572
21034,"Certified",40.401131,-81.849354
21038,"Certified",40.687565,-81.6752829
20960,"Certified",40.4686064,-81.7929706
20954,"Certified",41.6292149,-84.5431513
20964,"Certified",40.6894513,-81.8650695
20939,"Certified",40.618804,-81.826222
20933,"Certified",41.035463,-82.161349
20921,"Certified",40.8262431,-80.7269527
20878,"Certified",39.924024,-83.562099
20894,"Certified",40.482523,-81.763712
20901,"Certified",40.576693,-81.555666
21008,"Certified",40.9867165,-81.0094414
21039,"Certified",40.527943,-81.64965
21055,"Certified",40.509143,-82.616351
21045,"Certified",40.501668,-82.390763
21061,"Certified",40.65519,-81.731263
21070,"Certified",40.512608,-82.617011
21078,"Certified",40.656797,-81.9843269
21075,"Certified",40.651506,-81.702267
20642,"Certified",40.5575514,-81.6204274
20591,"Certified",40.541216,-81.632412
20600,"Certified",40.5639119,-81.585436
20739,"Certified",40.516441,-81.6495475
20742,"Certified",40.5474729,-82.377022
20523,"Certified",40.8098529,-81.698558
20536,"Certified",39.276657,-83.440037
20529,"Certified",39.8814519,-83.0929644
20449,"Certified",41.281339,-81.644313
20406,"Certified",40.5808637,-83.4080431
20410,"Certified",40.498055,-83.15121
20612,"Certified",41.382314,-80.537276
20977,"Certified",40.7136484,-80.6889616
20978,"Certified",39.476033,-81.975511
20961,"Certified",40.6679495,-81.9956447
20970,"Certified",39.887717,-81.176935
20965,"Certified",40.4434249,-83.75774
20966,"Certified",40.6387667,-81.8466793
20967,"Certified",40.6024561,-81.847053
20968,"Certified",40.6163016,-83.4835192
20955,"Certified",41.390192,-81.2717119
20956,"Certified",41.331476,-81.88056
20957,"Certified",40.7987871,-81.6954062
20958,"Certified",40.439828,-81.678186
