"BBS_route","reclass","buffer","YEAR","total_pix","km2","RTENO"
2310,4,1000,1994,0,0,2310
2310,5,1000,1994,0,0,2310
2310,5,2000,1994,0,0,2310
2310,1,1000,1995,24.3333333333333,0.0219,2310
2310,2,1000,1995,7585.33333333333,6.8268,2310
2310,3,1000,1995,127.333333333333,0.1146,2310
2310,6,1000,1995,70476.3333333333,63.4287,2310
2310,7,1000,1995,1157.66666666667,1.0419,2310
2310,1,10000,1995,2663.33333333333,2.397,2310
2310,2,10000,1995,104302.666666667,93.8724,2310
2310,3,10000,1995,1219.33333333333,1.0974,2310
2310,4,10000,1995,69011.3333333333,62.1102,2310
2310,5,10000,1995,5570,5.013,2310
2310,6,10000,1995,954080.333333333,858.6723,2310
2310,7,10000,1995,9237,8.3133,2310
2310,2,200,1995,2844,2.5596,2310
2310,3,200,1995,9.66666666666667,0.0087,2310
2310,6,200,1995,12835.3333333333,11.5518,2310
2310,1,2000,1995,94.3333333333333,0.0849,2310
2310,2,2000,1995,19776.3333333333,17.7987,2310
2310,3,2000,1995,211.333333333333,0.1902,2310
2310,4,2000,1995,6774.66666666667,6.0972,2310
2310,6,2000,1995,139821.666666667,125.8395,2310
2310,7,2000,1995,2217.66666666667,1.9959,2310
2310,1,400,1995,0.666666666666667,6e-04,2310
2310,2,400,1995,3880.66666666667,3.4926,2310
2310,3,400,1995,19.6666666666667,0.0177,2310
2310,6,400,1995,27495,24.7455,2310
2310,7,400,1995,532.666666666667,0.4794,2310
2310,1,5000,1995,1529,1.3761,2310
2310,2,5000,1995,52610.6666666667,47.3496,2310
2310,3,5000,1995,508,0.4572,2310
2310,4,5000,1995,17936,16.1424,2310
2310,5,5000,1995,2514.33333333333,2.2629,2310
2310,6,5000,1995,404251,363.8259,2310
2310,7,5000,1995,4476,4.0284,2310
2310,4,200,1995,0,0,2310
2310,5,200,1995,0,0,2310
2310,7,200,1995,0,0,2310
2310,4,400,1995,0,0,2310
2310,5,400,1995,0,0,2310
2310,4,1000,1995,0,0,2310
2310,5,1000,1995,0,0,2310
2310,5,2000,1995,0,0,2310
2310,1,1000,1996,30.1111111111111,0.0271,2310
2310,2,1000,1996,7631.44444444444,6.8683,2310
2310,3,1000,1996,134.444444444444,0.121,2310
2310,6,1000,1996,70416.4444444444,63.3748,2310
2310,7,1000,1996,1158.55555555556,1.0427,2310
2310,1,10000,1996,2739.44444444444,2.4655,2310
2310,2,10000,1996,104505.888888889,94.0553,2310
2310,3,10000,1996,1251.11111111111,1.126,2310
2310,4,10000,1996,69020.4444444444,62.1184,2310
2310,5,10000,1996,5571,5.0139,2310
2310,6,10000,1996,953756.111111111,858.3805,2310
2310,7,10000,1996,9240,8.316,2310
2310,2,200,1996,2847,2.5623,2310
2310,3,200,1996,12.8888888888889,0.0116,2310
2310,6,200,1996,12829.1111111111,11.5462,2310
2310,1,2000,1996,107.111111111111,0.0964,2310
2310,2,2000,1996,19890.4444444444,17.9014,2310
2310,3,2000,1996,218.444444444444,0.1966,2310
2310,4,2000,1996,6774.88888888889,6.0974,2310
2310,6,2000,1996,139686.555555556,125.7179,2310
2310,7,2000,1996,2218.55555555556,1.9967,2310
2310,1,400,1996,0.888888888888889,8e-04,2310
2310,2,400,1996,3884.55555555556,3.4961,2310
2310,3,400,1996,22.8888888888889,0.0206,2310
2310,6,400,1996,27486.3333333333,24.7377,2310
2310,7,400,1996,533.555555555556,0.4802,2310
2310,1,5000,1996,1569.33333333333,1.4124,2310
2310,2,5000,1996,52794.8888888889,47.5154,2310
2310,3,5000,1996,525.333333333333,0.4728,2310
2310,4,5000,1996,17937.3333333333,16.1436,2310
2310,5,5000,1996,2515.11111111111,2.2636,2310
2310,6,5000,1996,404007,363.6063,2310
2310,7,5000,1996,4476,4.0284,2310
2310,4,200,1996,0,0,2310
2310,5,200,1996,0,0,2310
2310,7,200,1996,0,0,2310
2310,4,400,1996,0,0,2310
2310,5,400,1996,0,0,2310
2310,4,1000,1996,0,0,2310
2310,5,1000,1996,0,0,2310
2310,5,2000,1996,0,0,2310
2310,1,1000,1997,35.8888888888889,0.0323,2310
2310,2,1000,1997,7677.55555555556,6.9098,2310
2310,3,1000,1997,141.555555555556,0.1274,2310
2310,6,1000,1997,70356.5555555556,63.3209,2310
2310,7,1000,1997,1159.44444444444,1.0435,2310
2310,1,10000,1997,2815.55555555556,2.534,2310
2310,2,10000,1997,104709.111111111,94.2382,2310
2310,3,10000,1997,1282.88888888889,1.1546,2310
2310,4,10000,1997,69029.5555555556,62.1266,2310
2310,5,10000,1997,5572,5.0148,2310
2310,6,10000,1997,953431.888888889,858.0887,2310
2310,7,10000,1997,9243,8.3187,2310
2310,2,200,1997,2850,2.565,2310
2310,3,200,1997,16.1111111111111,0.0145,2310
2310,6,200,1997,12822.8888888889,11.5406,2310
2310,1,2000,1997,119.888888888889,0.1079,2310
2310,2,2000,1997,20004.5555555556,18.0041,2310
2310,3,2000,1997,225.555555555556,0.203,2310
2310,4,2000,1997,6775.11111111111,6.0976,2310
2310,6,2000,1997,139551.444444444,125.5963,2310
2310,7,2000,1997,2219.44444444444,1.9975,2310
2310,1,400,1997,1.11111111111111,0.001,2310
2310,2,400,1997,3888.44444444444,3.4996,2310
2310,3,400,1997,26.1111111111111,0.0235,2310
2310,6,400,1997,27477.6666666667,24.7299,2310
2310,7,400,1997,534.444444444444,0.481,2310
2310,1,5000,1997,1609.66666666667,1.4487,2310
2310,2,5000,1997,52979.1111111111,47.6812,2310
2310,3,5000,1997,542.666666666667,0.4884,2310
2310,4,5000,1997,17938.6666666667,16.1448,2310
2310,5,5000,1997,2515.88888888889,2.2643,2310
2310,6,5000,1997,403763,363.3867,2310
2310,7,5000,1997,4476,4.0284,2310
2310,4,200,1997,0,0,2310
2310,5,200,1997,0,0,2310
2310,7,200,1997,0,0,2310
2310,4,400,1997,0,0,2310
2310,5,400,1997,0,0,2310
2310,4,1000,1997,0,0,2310
2310,5,1000,1997,0,0,2310
2310,5,2000,1997,0,0,2310
2310,1,1000,1998,41.6666666666667,0.0375,2310
2310,2,1000,1998,7723.66666666667,6.9513,2310
2310,3,1000,1998,148.666666666667,0.1338,2310
2310,6,1000,1998,70296.6666666667,63.267,2310
2310,7,1000,1998,1160.33333333333,1.0443,2310
2310,1,10000,1998,2891.66666666667,2.6025,2310
2310,2,10000,1998,104912.333333333,94.4211,2310
2310,3,10000,1998,1314.66666666667,1.1832,2310
2310,4,10000,1998,69038.6666666667,62.1348,2310
2310,5,10000,1998,5573,5.0157,2310
2310,6,10000,1998,953107.666666667,857.7969,2310
2310,7,10000,1998,9246,8.3214,2310
2310,2,200,1998,2853,2.5677,2310
2310,3,200,1998,19.3333333333333,0.0174,2310
2310,6,200,1998,12816.6666666667,11.535,2310
2310,1,2000,1998,132.666666666667,0.1194,2310
2310,2,2000,1998,20118.6666666667,18.1068,2310
2310,3,2000,1998,232.666666666667,0.2094,2310
2310,4,2000,1998,6775.33333333333,6.0978,2310
2310,6,2000,1998,139416.333333333,125.4747,2310
2310,7,2000,1998,2220.33333333333,1.9983,2310
2310,1,400,1998,1.33333333333333,0.0012,2310
2310,2,400,1998,3892.33333333333,3.5031,2310
2310,3,400,1998,29.3333333333333,0.0264,2310
2310,6,400,1998,27469,24.7221,2310
2310,7,400,1998,535.333333333333,0.4818,2310
2310,1,5000,1998,1650,1.485,2310
2310,2,5000,1998,53163.3333333333,47.847,2310
2310,3,5000,1998,560,0.504,2310
2310,4,5000,1998,17940,16.146,2310
2310,5,5000,1998,2516.66666666667,2.265,2310
2310,6,5000,1998,403519,363.1671,2310
2310,7,5000,1998,4476,4.0284,2310
2310,4,200,1998,0,0,2310
2310,5,200,1998,0,0,2310
2310,7,200,1998,0,0,2310
2310,4,400,1998,0,0,2310
2310,5,400,1998,0,0,2310
2310,4,1000,1998,0,0,2310
2310,5,1000,1998,0,0,2310
2310,5,2000,1998,0,0,2310
2310,1,1000,1999,47.4444444444444,0.0427,2310
2310,2,1000,1999,7769.77777777778,6.9928,2310
2310,3,1000,1999,155.777777777778,0.1402,2310
2310,6,1000,1999,70236.7777777778,63.2131,2310
2310,7,1000,1999,1161.22222222222,1.0451,2310
2310,1,10000,1999,2967.77777777778,2.671,2310
2310,2,10000,1999,105115.555555556,94.604,2310
2310,3,10000,1999,1346.44444444444,1.2118,2310
2310,4,10000,1999,69047.7777777778,62.143,2310
2310,5,10000,1999,5574,5.0166,2310
2310,6,10000,1999,952783.444444444,857.5051,2310
2310,7,10000,1999,9249,8.3241,2310
2310,2,200,1999,2856,2.5704,2310
2310,3,200,1999,22.5555555555556,0.0203,2310
2310,6,200,1999,12810.4444444444,11.5294,2310
2310,1,2000,1999,145.444444444444,0.1309,2310
2310,2,2000,1999,20232.7777777778,18.2095,2310
2310,3,2000,1999,239.777777777778,0.2158,2310
2310,4,2000,1999,6775.55555555556,6.098,2310
2310,6,2000,1999,139281.222222222,125.3531,2310
2310,7,2000,1999,2221.22222222222,1.9991,2310
2310,1,400,1999,1.55555555555556,0.0014,2310
2310,2,400,1999,3896.22222222222,3.5066,2310
2310,3,400,1999,32.5555555555556,0.0293,2310
2310,6,400,1999,27460.3333333333,24.7143,2310
2310,7,400,1999,536.222222222222,0.4826,2310
2310,1,5000,1999,1690.33333333333,1.5213,2310
2310,2,5000,1999,53347.5555555556,48.0128,2310
2310,3,5000,1999,577.333333333333,0.5196,2310
2310,4,5000,1999,17941.3333333333,16.1472,2310
2310,5,5000,1999,2517.44444444444,2.2657,2310
2310,6,5000,1999,403275,362.9475,2310
2310,7,5000,1999,4476,4.0284,2310
2310,4,200,1999,0,0,2310
2310,5,200,1999,0,0,2310
2310,7,200,1999,0,0,2310
2310,4,400,1999,0,0,2310
2310,5,400,1999,0,0,2310
2310,4,1000,1999,0,0,2310
2310,5,1000,1999,0,0,2310
2310,5,2000,1999,0,0,2310
2310,1,1000,2000,53.2222222222222,0.0479,2310
2310,2,1000,2000,7815.88888888889,7.0343,2310
2310,3,1000,2000,162.888888888889,0.1466,2310
2310,6,1000,2000,70176.8888888889,63.1592,2310
2310,7,1000,2000,1162.11111111111,1.0459,2310
2310,1,10000,2000,3043.88888888889,2.7395,2310
2310,2,10000,2000,105318.777777778,94.7869,2310
2310,3,10000,2000,1378.22222222222,1.2404,2310
2310,4,10000,2000,69056.8888888889,62.1512,2310
2310,5,10000,2000,5575,5.0175,2310
2310,6,10000,2000,952459.222222222,857.2133,2310
2310,7,10000,2000,9252,8.3268,2310
2310,2,200,2000,2859,2.5731,2310
2310,3,200,2000,25.7777777777778,0.0232,2310
2310,6,200,2000,12804.2222222222,11.5238,2310
2310,1,2000,2000,158.222222222222,0.1424,2310
2310,2,2000,2000,20346.8888888889,18.3122,2310
2310,3,2000,2000,246.888888888889,0.2222,2310
2310,4,2000,2000,6775.77777777778,6.0982,2310
2310,6,2000,2000,139146.111111111,125.2315,2310
2310,7,2000,2000,2222.11111111111,1.9999,2310
2310,1,400,2000,1.77777777777778,0.0016,2310
2310,2,400,2000,3900.11111111111,3.5101,2310
2310,3,400,2000,35.7777777777778,0.0322,2310
2310,6,400,2000,27451.6666666667,24.7065,2310
2310,7,400,2000,537.111111111111,0.4834,2310
2310,1,5000,2000,1730.66666666667,1.5576,2310
2310,2,5000,2000,53531.7777777778,48.1786,2310
2310,3,5000,2000,594.666666666667,0.5352,2310
2310,4,5000,2000,17942.6666666667,16.1484,2310
2310,5,5000,2000,2518.22222222222,2.2664,2310
2310,6,5000,2000,403031,362.7279,2310
2310,7,5000,2000,4476,4.0284,2310
2310,4,200,2000,0,0,2310
2310,5,200,2000,0,0,2310
2310,7,200,2000,0,0,2310
2310,4,400,2000,0,0,2310
2310,5,400,2000,0,0,2310
2310,4,1000,2000,0,0,2310
2310,5,1000,2000,0,0,2310
2310,5,2000,2000,0,0,2310
2310,1,1000,2001,64,0.0576,2310
2310,2,1000,2001,8169,7.3521,2310
2310,3,1000,2001,170,0.153,2310
2310,6,1000,2001,73472,66.1248,2310
2310,7,1000,2001,1696,1.5264,2310
2310,1,10000,2001,3120,2.808,2310
2310,2,10000,2001,105675,95.1075,2310
2310,3,10000,2001,1410,1.269,2310
2310,4,10000,2001,69185,62.2665,2310
2310,5,10000,2001,5597,5.0373,2310
2310,6,10000,2001,952479,857.2311,2310
2310,7,10000,2001,19076,17.1684,2310
2310,2,200,2001,2987,2.6883,2310
2310,3,200,2001,29,0.0261,2310
2310,6,200,2001,13174,11.8566,2310
2310,1,2000,2001,186,0.1674,2310
2310,2,2000,2001,21037,18.9333,2310
2310,3,2000,2001,254,0.2286,2310
2310,4,2000,2001,7116,6.4044,2310
2310,6,2000,2001,149322,134.3898,2310
2310,7,2000,2001,2917,2.6253,2310
2310,1,400,2001,2,0.0018,2310
2310,2,400,2001,4080,3.672,2310
2310,3,400,2001,39,0.0351,2310
2310,6,400,2001,28374,25.5366,2310
2310,7,400,2001,834,0.7506,2310
2310,1,5000,2001,1771,1.5939,2310
2310,2,5000,2001,54311,48.8799,2310
2310,3,5000,2001,724,0.6516,2310
2310,4,5000,2001,20524,18.4716,2310
2310,5,5000,2001,2584,2.3256,2310
2310,6,5000,2001,412142,370.9278,2310
2310,7,5000,2001,7382,6.6438,2310
2310,4,200,2001,682,0.6138,2310
2310,5,200,2001,170,0.153,2310
2310,7,200,2001,351,0.3159,2310
2310,4,400,2001,1354,1.2186,2310
2310,5,400,2001,242,0.2178,2310
2310,4,1000,2001,4374,3.9366,2310
2310,5,1000,2001,485,0.4365,2310
2310,5,2000,2001,1278,1.1502,2310
2310,1,1000,2002,63.6,0.05724,2310
2310,2,1000,2002,8290.6,7.46154,2310
2310,3,1000,2002,173.4,0.15606,2310
2310,6,1000,2002,73351.4,66.01626,2310
2310,7,1000,2002,1696,1.5264,2310
2310,1,10000,2002,3136,2.8224,2310
2310,2,10000,2002,105923.6,95.33124,2310
2310,3,10000,2002,1401.2,1.26108,2310
2310,4,10000,2002,69171.2,62.25408,2310
2310,5,10000,2002,5591,5.0319,2310
2310,6,10000,2002,952208.4,856.98756,2310
2310,7,10000,2002,19110.6,17.19954,2310
2310,2,200,2002,2993.8,2.69442,2310
2310,3,200,2002,29,0.0261,2310
2310,6,200,2002,13167.2,11.85048,2310
2310,1,2000,2002,185.6,0.16704,2310
2310,2,2000,2002,21164.4,19.04796,2310
2310,3,2000,2002,257.4,0.23166,2310
2310,4,2000,2002,7112,6.4008,2310
2310,6,2000,2002,149201.4,134.28126,2310
2310,7,2000,2002,2917,2.6253,2310
2310,1,400,2002,2,0.0018,2310
2310,2,400,2002,4114.4,3.70296,2310
2310,3,400,2002,38,0.0342,2310
2310,6,400,2002,28340.6,25.50654,2310
2310,7,400,2002,834,0.7506,2310
2310,1,5000,2002,1772.4,1.59516,2310
2310,2,5000,2002,54477.2,49.02948,2310
2310,3,5000,2002,723.4,0.65106,2310
2310,4,5000,2002,20516.4,18.46476,2310
2310,5,5000,2002,2578,2.3202,2310
2310,6,5000,2002,411972.2,370.77498,2310
2310,7,5000,2002,7398.4,6.65856,2310
2310,4,200,2002,682,0.6138,2310
2310,5,200,2002,170,0.153,2310
2310,7,200,2002,351,0.3159,2310
2310,4,400,2002,1354,1.2186,2310
2310,5,400,2002,242,0.2178,2310
2310,4,1000,2002,4370,3.933,2310
2310,5,1000,2002,485,0.4365,2310
2310,5,2000,2002,1272.2,1.14498,2310
2310,1,1000,2003,63.2,0.05688,2310
2310,2,1000,2003,8412.2,7.57098,2310
2310,3,1000,2003,176.8,0.15912,2310
2310,6,1000,2003,73230.8,65.90772,2310
2310,7,1000,2003,1696,1.5264,2310
2310,1,10000,2003,3152,2.8368,2310
2310,2,10000,2003,106172.2,95.55498,2310
2310,3,10000,2003,1392.4,1.25316,2310
2310,4,10000,2003,69157.4,62.24166,2310
2310,5,10000,2003,5585,5.0265,2310
2310,6,10000,2003,951937.8,856.74402,2310
2310,7,10000,2003,19145.2,17.23068,2310
2310,2,200,2003,3000.6,2.70054,2310
2310,3,200,2003,29,0.0261,2310
2310,6,200,2003,13160.4,11.84436,2310
2310,1,2000,2003,185.2,0.16668,2310
2310,2,2000,2003,21291.8,19.16262,2310
2310,3,2000,2003,260.8,0.23472,2310
2310,4,2000,2003,7108,6.3972,2310
2310,6,2000,2003,149080.8,134.17272,2310
2310,7,2000,2003,2917,2.6253,2310
2310,1,400,2003,2,0.0018,2310
2310,2,400,2003,4148.8,3.73392,2310
2310,3,400,2003,37,0.0333,2310
2310,6,400,2003,28307.2,25.47648,2310
2310,7,400,2003,834,0.7506,2310
2310,1,5000,2003,1773.8,1.59642,2310
2310,2,5000,2003,54643.4,49.17906,2310
2310,3,5000,2003,722.8,0.65052,2310
2310,4,5000,2003,20508.8,18.45792,2310
2310,5,5000,2003,2572,2.3148,2310
2310,6,5000,2003,411802.4,370.62216,2310
2310,7,5000,2003,7414.8,6.67332,2310
2310,4,200,2003,682,0.6138,2310
2310,5,200,2003,170,0.153,2310
2310,7,200,2003,351,0.3159,2310
2310,4,400,2003,1354,1.2186,2310
2310,5,400,2003,242,0.2178,2310
2310,4,1000,2003,4366,3.9294,2310
2310,5,1000,2003,485,0.4365,2310
2310,5,2000,2003,1266.4,1.13976,2310
2310,1,1000,2004,62.8,0.05652,2310
2310,2,1000,2004,8533.8,7.68042,2310
2310,3,1000,2004,180.2,0.16218,2310
2310,6,1000,2004,73110.2,65.79918,2310
2310,7,1000,2004,1696,1.5264,2310
2310,1,10000,2004,3168,2.8512,2310
2310,2,10000,2004,106420.8,95.77872,2310
2310,3,10000,2004,1383.6,1.24524,2310
2310,4,10000,2004,69143.6,62.22924,2310
2310,5,10000,2004,5579,5.0211,2310
2310,6,10000,2004,951667.2,856.50048,2310
2310,7,10000,2004,19179.8,17.26182,2310
2310,2,200,2004,3007.4,2.70666,2310
2310,3,200,2004,29,0.0261,2310
2310,6,200,2004,13153.6,11.83824,2310
2310,1,2000,2004,184.8,0.16632,2310
2310,2,2000,2004,21419.2,19.27728,2310
2310,3,2000,2004,264.2,0.23778,2310
2310,4,2000,2004,7104,6.3936,2310
2310,6,2000,2004,148960.2,134.06418,2310
2310,7,2000,2004,2917,2.6253,2310
2310,1,400,2004,2,0.0018,2310
2310,2,400,2004,4183.2,3.76488,2310
2310,3,400,2004,36,0.0324,2310
