"Route","Year","Shannon","Lati","Longi"
"44",5,2005,3.3746927492432,41.0376017,-82.9962929
"45",5,2004,3.38151977273728,41.0376017,-82.9962929
"46",5,2013,3.55883452639482,41.0376017,-82.9962929
"47",6,2001,2.84292343965387,41.4427171,-83.087075
"48",6,2009,2.44916863677917,41.4427171,-83.087075
"49",6,2010,2.94148595790915,41.4427171,-83.087075
"50",6,2002,2.95909203809114,41.4427171,-83.087075
"51",6,2003,2.74624441830475,41.4427171,-83.087075
"52",6,2006,2.76387273835039,41.4427171,-83.087075
"53",6,2012,3.00870162014682,41.4427171,-83.087075
"54",6,2008,2.81779452248254,41.4427171,-83.087075
"55",6,2013,3.01142563420859,41.4427171,-83.087075
"56",6,2000,2.68210835971767,41.4427171,-83.087075
"57",6,2011,2.85193159934183,41.4427171,-83.087075
"58",6,2007,2.89563116565369,41.4427171,-83.087075
"59",8,2010,2.60298671337253,41.1974257,-83.7075339
"60",8,2009,2.57841311049302,41.1974257,-83.7075339
"61",8,2013,2.64029771769993,41.1974257,-83.7075339
"62",8,2008,2.79572640624489,41.1974257,-83.7075339
"63",8,2000,2.98001682910507,41.1974257,-83.7075339
"64",8,2012,2.76021369620349,41.1974257,-83.7075339
"65",8,2011,2.68253930856427,41.1974257,-83.7075339
"66",11,2001,3.25645549382909,41.2506217,-82.2354939
"67",11,2003,3.37520542628838,41.2506217,-82.2354939
"68",11,2011,3.38774901121919,41.2506217,-82.2354939
"69",11,2010,3.56804391512389,41.2506217,-82.2354939
"70",11,2000,3.31869369316764,41.2506217,-82.2354939
"71",11,2006,3.46234340764615,41.2506217,-82.2354939
"72",11,2007,3.41009327517403,41.2506217,-82.2354939
"73",11,2009,3.49187632150354,41.2506217,-82.2354939
"74",11,2012,3.60780609297755,41.2506217,-82.2354939
"75",11,2013,3.44630647330726,41.2506217,-82.2354939
"76",11,2002,3.3897143313402,41.2506217,-82.2354939
"77",11,2004,3.33274415305377,41.2506217,-82.2354939
"78",11,2008,3.41456460629231,41.2506217,-82.2354939
"79",11,2005,3.37736237285158,41.2506217,-82.2354939
"80",15,2010,3.26053749063187,41.1788496,-81.002582
"81",15,2003,3.18069613382926,41.1788496,-81.002582
"82",15,2006,3.26089763429775,41.1788496,-81.002582
