"GEOID","reclass","year","total"
"39161","1",2001,1822
"39163","1",2001,5202
"39165","1",2001,20144
"39167","1",2001,18690
"39169","1",2001,12971
"39171","1",2001,6674
"39173","1",2001,12790
"39175","1",2001,8596
"42007","1",2001,26743
"42039","1",2001,106195
"42049","1",2001,2172995
"42073","1",2001,13971
"42085","1",2001,44146
"54009","1",2001,10278
"54011","1",2001,20127
"54029","1",2001,15982
"54035","1",2001,21882
"54051","1",2001,21131
"54053","1",2001,41010
"54069","1",2001,8817
"54073","1",2001,14968
"54095","1",2001,12219
"54099","1",2001,18313
"54103","1",2001,8007
"54107","1",2001,30643
"18001","1",2006,2943
"18003","1",2006,19537
"18029","1",2006,8571
"18033","1",2006,6605
"18047","1",2006,18989
"18075","1",2006,1818
"18135","1",2006,2288
"18151","1",2006,43178
"18161","1",2006,10991
"18177","1",2006,3924
"21015","1",2006,32464
"21019","1",2006,6139
"21023","1",2006,18121
"21037","1",2006,24484
"21089","1",2006,26432
"21117","1",2006,7536
"21135","1",2006,34376
"21161","1",2006,16570
"21191","1",2006,8113
"26023","1",2006,36837
"26059","1",2006,20007
"26091","1",2006,31772
"26115","1",2006,363245
"39001","1",2006,7928
"39003","1",2006,9769
"39005","1",2006,10276
"39007","1",2006,1912370
"39009","1",2006,9365
"39011","1",2006,14784
"39013","1",2006,17499
"39015","1",2006,10072
"39017","1",2006,14328
"39019","1",2006,15772
"39021","1",2006,5495
"39023","1",2006,16703
"39025","1",2006,17684
"39027","1",2006,5910
"39029","1",2006,13742
"39031","1",2006,19976
"39033","1",2006,3514
"39035","1",2006,2259250
"39037","1",2006,2940
"39039","1",2006,12047
"39041","1",2006,42322
"39043","1",2006,1075953
"39045","1",2006,12552
"39047","1",2006,2829
"39049","1",2006,24686
"39051","1",2006,3427
"39053","1",2006,10288
"39055","1",2006,24340
"39057","1",2006,6278
"39059","1",2006,23583
"39061","1",2006,19891
"39063","1",2006,8945
"39065","1",2006,1861
"39067","1",2006,24674
"39069","1",2006,11961
"39071","1",2006,14786
"39073","1",2006,5412
"39075","1",2006,6147
"39077","1",2006,11575
"39079","1",2006,5465
"39081","1",2006,12435
"39083","1",2006,11472
"39085","1",2006,2125838
"39087","1",2006,7816
"39089","1",2006,10335
"39091","1",2006,27588
"39093","1",2006,1239903
"39095","1",2006,736801
"39097","1",2006,4324
"39099","1",2006,32674
"39101","1",2006,6385
"39103","1",2006,9895
"39105","1",2006,11183
"39107","1",2006,48101
"39109","1",2006,7536
"39111","1",2006,5964
"39113","1",2006,13848
"39115","1",2006,12970
"39117","1",2006,4902
"39119","1",2006,27880
"39121","1",2006,15939
"39123","1",2006,950411
"39125","1",2006,11058
"39127","1",2006,8462
"39129","1",2006,19212
"39131","1",2006,8881
"39133","1",2006,52666
"39135","1",2006,6131
"39137","1",2006,5627
"39139","1",2006,13645
"39141","1",2006,15035
"39143","1",2006,26686
"39145","1",2006,13595
"39147","1",2006,6732
"39149","1",2006,8119
"39151","1",2006,20585
"39153","1",2006,23523
"39155","1",2006,59916
"39157","1",2006,22435
"39159","1",2006,3882
"39161","1",2006,1950
"39163","1",2006,5274
"39165","1",2006,20134
"39167","1",2006,18690
"39169","1",2006,13057
"39171","1",2006,6851
"39173","1",2006,12480
"39175","1",2006,8369
"42007","1",2006,25838
"42039","1",2006,106281
"42049","1",2006,2172785
"42073","1",2006,13997
"42085","1",2006,44249
"54009","1",2006,9926
"54011","1",2006,20146
"54029","1",2006,15667
"54035","1",2006,21882
"54051","1",2006,20808
"54053","1",2006,40996
"54069","1",2006,8765
"54073","1",2006,14966
"54095","1",2006,12219
"54099","1",2006,18443
"54103","1",2006,8007
"54107","1",2006,30628
"18001","1",2011,3047
"18003","1",2011,19748
"18029","1",2011,8490
"18033","1",2011,6709
"18047","1",2011,19120
"18075","1",2011,1788
"18135","1",2011,2288
"18151","1",2011,43248
"18161","1",2011,11006
"18177","1",2011,3986
"21015","1",2011,32540
"21019","1",2011,6123
"21023","1",2011,18160
"21037","1",2011,24491
"21089","1",2011,26301
"21117","1",2011,7531
"21135","1",2011,34384
"21161","1",2011,16585
"21191","1",2011,8127
"26023","1",2011,36891
"26059","1",2011,20627
"26091","1",2011,32606
"26115","1",2011,363518
"39001","1",2011,7970
"39003","1",2011,9786
"39005","1",2011,10321
"39007","1",2011,1912203
"39009","1",2011,9362
"39011","1",2011,14829
"39013","1",2011,17741
"39015","1",2011,10015
"39017","1",2011,14631
"39019","1",2011,15727
"39021","1",2011,5625
"39023","1",2011,16984
"39025","1",2011,17664
"39027","1",2011,6119
"39029","1",2011,13655
"39031","1",2011,19948
"39033","1",2011,3602
"39035","1",2011,2259217
"39037","1",2011,2936
"39039","1",2011,12429
"39041","1",2011,42393
"39043","1",2011,1075941
"39045","1",2011,12740
"39047","1",2011,2822
"39049","1",2011,25819
"39051","1",2011,3506
"39053","1",2011,10284
"39055","1",2011,24242
"39057","1",2011,6287
"39059","1",2011,23497
"39061","1",2011,20127
"39063","1",2011,9042
"39065","1",2011,1918
"39067","1",2011,24553
"39069","1",2011,12040
"39071","1",2011,15319
"39073","1",2011,5470
"39075","1",2011,6170
"39077","1",2011,11592
"39079","1",2011,5346
"39081","1",2011,12396
"39083","1",2011,11894
"39085","1",2011,2125742
"39087","1",2011,7794
"39089","1",2011,10588
"39091","1",2011,27632
"39093","1",2011,1239860
"39095","1",2011,736802
"39097","1",2011,4396
"39099","1",2011,32629
"39101","1",2011,6922
"39103","1",2011,9884
"39105","1",2011,11268
"39107","1",2011,48297
"39109","1",2011,7578
"39111","1",2011,5956
"39113","1",2011,13890
"39115","1",2011,12224
"39117","1",2011,4998
"39119","1",2011,27705
"39121","1",2011,15951
"39123","1",2011,950790
"39125","1",2011,11447
"39127","1",2011,8644
"39129","1",2011,19265
"39131","1",2011,8770
"39133","1",2011,52725
"39135","1",2011,6177
"39137","1",2011,5779
"39139","1",2011,13803
"39141","1",2011,14860
"39143","1",2011,26748
"39145","1",2011,13461
"39147","1",2011,6786
"39149","1",2011,8154
"39151","1",2011,20502
"39153","1",2011,23383
"39155","1",2011,59749
"39157","1",2011,22369
"39159","1",2011,4636
"39161","1",2011,2373
"39163","1",2011,5279
