"GEOID","NAME","ALAND","INTPTLAT","INTPTLON","reclass","Class.prop"
"39001","Adams",1512208955,"+38.8344683","-083.4780816","agr",0.293421886701813
"39001","Adams",1512208955,"+38.8344683","-083.4780816","forest",0.604610325865854
"39001","Adams",1512208955,"+38.8344683","-083.4780816","grass_shrub",0.0491555965266235
"39001","Adams",1512208955,"+38.8344683","-083.4780816","urb",0.0488776593699887
"39001","Adams",1512208955,"+38.8344683","-083.4780816","wetlands",0.000436248256559454
"39003","Allen",1042470091,"+40.7716274","-084.1061032","agr",0.718110591020352
"39003","Allen",1042470091,"+40.7716274","-084.1061032","forest",0.0755649608725964
"39003","Allen",1042470091,"+40.7716274","-084.1061032","grass_shrub",0.0182666115456252
"39003","Allen",1042470091,"+40.7716274","-084.1061032","urb",0.187395508501291
"39003","Allen",1042470091,"+40.7716274","-084.1061032","wetlands",0.00304846419168176
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","agr",0.555192264768554
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","forest",0.337982661487173
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","grass_shrub",0.00831455767454402
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","urb",0.0888803210703727
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","wetlands",0.0103176102052296
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","agr",0.348933231539786
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","forest",0.433835496978329
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","grass_shrub",0.0551005318192991
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","urb",0.109813136796653
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","wetlands",0.0491886262164828
"39009","Athens",1304308760,"+39.3325699","-082.0458376","agr",0.192742875911149
"39009","Athens",1304308760,"+39.3325699","-082.0458376","forest",0.710950241835511
"39009","Athens",1304308760,"+39.3325699","-082.0458376","grass_shrub",0.0142019613790257
"39009","Athens",1304308760,"+39.3325699","-082.0458376","urb",0.0842636828142972
"39009","Athens",1304308760,"+39.3325699","-082.0458376","wetlands",0.000255306856002309
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","agr",0.803302464663773
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","forest",0.0673277659188151
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","grass_shrub",0.0165776367743682
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","urb",0.0989758241756733
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","wetlands",0.00233830471186843
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","agr",0.276486745274533
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","forest",0.601792734448343
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","grass_shrub",0.0273962163660083
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","urb",0.0946959723420876
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","wetlands",0.00144513686310816
"39015","Brown",1269135577,"+38.9313769","-083.8667723","agr",0.529661723266705
"39015","Brown",1269135577,"+38.9313769","-083.8667723","forest",0.373938765527272
"39015","Brown",1269135577,"+38.9313769","-083.8667723","grass_shrub",0.031756301552559
"39015","Brown",1269135577,"+38.9313769","-083.8667723","urb",0.0637069093203745
"39015","Brown",1269135577,"+38.9313769","-083.8667723","wetlands",0.000414141714269321
"39017","Butler",1209637383,"+39.4397469","-084.5657341","agr",0.478563326544979
"39017","Butler",1209637383,"+39.4397469","-084.5657341","forest",0.187991343408084
"39017","Butler",1209637383,"+39.4397469","-084.5657341","grass_shrub",0.0102430346056236
"39017","Butler",1209637383,"+39.4397469","-084.5657341","urb",0.31824387556461
"39017","Butler",1209637383,"+39.4397469","-084.5657341","wetlands",0.00192256856402494
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","agr",0.339544548173969
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","forest",0.565118866082951
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","grass_shrub",0.0209509732931395
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","urb",0.0686832995941914
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","wetlands",0.00281084006185698
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","agr",0.810655776062255
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","forest",0.10047817101047
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","grass_shrub",0.0142079943791893
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","urb",0.071634167130724
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","wetlands",0.0011916330083533
"39023","Clark",1029469489,"+39.9170315","-083.7836760","agr",0.720824778048928
"39023","Clark",1029469489,"+39.9170315","-083.7836760","forest",0.0785625815999491
"39023","Clark",1029469489,"+39.9170315","-083.7836760","grass_shrub",0.0194188048751774
"39023","Clark",1029469489,"+39.9170315","-083.7836760","urb",0.176828973044881
"39023","Clark",1029469489,"+39.9170315","-083.7836760","wetlands",0.00272503218061985
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","agr",0.319474787628549
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","forest",0.505533213441971
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","grass_shrub",0.0267572115164418
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","urb",0.148483193669803
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","wetlands",0.00235498509425725
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","agr",0.776881794682084
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","forest",0.147655836767043
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","grass_shrub",0.00122950165825047
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","urb",0.0774067375256905
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","wetlands",0.000141146110144937
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","agr",0.386535836280274
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","forest",0.447283882572791
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","grass_shrub",0.0181103545183184
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","urb",0.139730566692088
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","wetlands",0.00349559957535338
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","agr",0.33958117886593
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","forest",0.561076287982267
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","grass_shrub",0.00906946566356442
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","urb",0.0778625766670299
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","wetlands",0.00583186730805637
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","agr",0.802697479491454
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","forest",0.0945654908492851
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","grass_shrub",0.00663266980659741
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","urb",0.0925287275953359
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","wetlands",0.00108454400019209
"39035","Cuyahoga",1184000466,"+41.7603920","-081.7242168","agr",0.00856113875950387
"39035","Cuyahoga",1184000466,"+41.7603920","-081.7242168","forest",0.187107334437436
"39035","Cuyahoga",1184000466,"+41.7603920","-081.7242168","grass_shrub",0.0126591751798593
"39035","Cuyahoga",1184000466,"+41.7603920","-081.7242168","urb",0.772914667129836
"39035","Cuyahoga",1184000466,"+41.7603920","-081.7242168","wetlands",0.0207264460575721
"39037","Darke",1549120990,"+40.1315416","-084.6212483","agr",0.857106528684401
"39037","Darke",1549120990,"+40.1315416","-084.6212483","forest",0.0503395655722532
"39037","Darke",1549120990,"+40.1315416","-084.6212483","grass_shrub",0.0136087110224758
"39037","Darke",1549120990,"+40.1315416","-084.6212483","urb",0.0783436250285962
"39037","Darke",1549120990,"+40.1315416","-084.6212483","wetlands",0.00133217103716432
"39039","Defiance",1065671182,"+41.3216789","-084.4864334","agr",0.793867260019071
"39039","Defiance",1065671182,"+41.3216789","-084.4864334","forest",0.078237307554156
"39039","Defiance",1065671182,"+41.3216789","-084.4864334","grass_shrub",0.00424296714291044
"39039","Defiance",1065671182,"+41.3216789","-084.4864334","urb",0.0894266132222333
"39039","Defiance",1065671182,"+41.3216789","-084.4864334","wetlands",0.0302311408932369
"39041","Delaware",1147866798,"+40.2789411","-083.0074622","agr",0.620465458814458
"39041","Delaware",1147866798,"+40.2789411","-083.0074622","forest",0.194994670749172
"39041","Delaware",1147866798,"+40.2789411","-083.0074622","grass_shrub",0.0107582022925555
"39041","Delaware",1147866798,"+40.2789411","-083.0074622","urb",0.168910283760706
"39041","Delaware",1147866798,"+40.2789411","-083.0074622","wetlands",0.00248471270790092
"39043","Erie",651627581,"+41.5540061","-082.5258973","agr",0.586688047462976
"39043","Erie",651627581,"+41.5540061","-082.5258973","forest",0.177731808875255
"39043","Erie",651627581,"+41.5540061","-082.5258973","grass_shrub",0.00454036679987381
"39043","Erie",651627581,"+41.5540061","-082.5258973","urb",0.199940515114492
"39043","Erie",651627581,"+41.5540061","-082.5258973","wetlands",0.0245016812583394
"39045","Fairfield",1306416977,"+39.7526407","-082.6275691","agr",0.606069332952529
"39045","Fairfield",1306416977,"+39.7526407","-082.6275691","forest",0.25834047881144
"39045","Fairfield",1306416977,"+39.7526407","-082.6275691","grass_shrub",0.00845921342771416
"39045","Fairfield",1306416977,"+39.7526407","-082.6275691","urb",0.124022995075956
"39045","Fairfield",1306416977,"+39.7526407","-082.6275691","wetlands",0.00264406394132803
"39047","Fayette",1052458603,"+39.5552748","-083.4619451","agr",0.882327466611153
"39047","Fayette",1052458603,"+39.5552748","-083.4619451","forest",0.0492179166424093
"39047","Fayette",1052458603,"+39.5552748","-083.4619451","grass_shrub",0.0032504091939501
"39047","Fayette",1052458603,"+39.5552748","-083.4619451","urb",0.063680142448272
"39047","Fayette",1052458603,"+39.5552748","-083.4619451","wetlands",0.000541307292757277
"39049","Franklin",1378342340,"+39.9693838","-083.0072731","agr",0.280521380466392
"39049","Franklin",1378342340,"+39.9693838","-083.0072731","forest",0.104435064216043
"39049","Franklin",1378342340,"+39.9693838","-083.0072731","grass_shrub",0.00830565031372858
"39049","Franklin",1378342340,"+39.9693838","-083.0072731","urb",0.604048660823751
"39049","Franklin",1378342340,"+39.9693838","-083.0072731","wetlands",0.0023833037456847
"39051","Fulton",1050090668,"+41.5972639","-084.1242667","agr",0.836621769211211
"39051","Fulton",1050090668,"+41.5972639","-084.1242667","forest",0.0580012781012613
"39051","Fulton",1050090668,"+41.5972639","-084.1242667","grass_shrub",0.00566865344684432
"39051","Fulton",1050090668,"+41.5972639","-084.1242667","urb",0.0895576964954797
"39051","Fulton",1050090668,"+41.5972639","-084.1242667","wetlands",0.0108967734991198
"39053","Gallia",1208307625,"+38.8170456","-082.3017463","agr",0.27300354684002
"39053","Gallia",1208307625,"+38.8170456","-082.3017463","forest",0.607623237882152
"39053","Gallia",1208307625,"+38.8170456","-082.3017463","grass_shrub",0.0431237779665334
"39053","Gallia",1208307625,"+38.8170456","-082.3017463","urb",0.0737549484290131
"39053","Gallia",1208307625,"+38.8170456","-082.3017463","wetlands",0.000810395716933612
"39055","Geauga",1036429354,"+41.4993217","-081.1735054","agr",0.253086553446692
"39055","Geauga",1036429354,"+41.4993217","-081.1735054","forest",0.489144421752178
"39055","Geauga",1036429354,"+41.4993217","-081.1735054","grass_shrub",0.0710906357192816
"39055","Geauga",1036429354,"+41.4993217","-081.1735054","urb",0.165776551023308
"39055","Geauga",1036429354,"+41.4993217","-081.1735054","wetlands",0.0194618506570479
"39057","Greene",1071562187,"+39.6874785","-083.8948943","agr",0.654772803141557
"39057","Greene",1071562187,"+39.6874785","-083.8948943","forest",0.11531198759899
"39057","Greene",1071562187,"+39.6874785","-083.8948943","grass_shrub",0.00820561501312591
"39057","Greene",1071562187,"+39.6874785","-083.8948943","urb",0.219151231996415
"39057","Greene",1071562187,"+39.6874785","-083.8948943","wetlands",0.00263805903339084
"39059","Guernsey",1352631005,"+40.0566648","-081.4978750","agr",0.239483788023533
"39059","Guernsey",1352631005,"+40.0566648","-081.4978750","forest",0.638263691611692
"39059","Guernsey",1352631005,"+40.0566648","-081.4978750","grass_shrub",0.021233937329326
"39059","Guernsey",1352631005,"+40.0566648","-081.4978750","urb",0.0936307981381492
"39059","Guernsey",1352631005,"+40.0566648","-081.4978750","wetlands",0.0028657465007178
"39061","Hamilton",1051304316,"+39.1969272","-084.5441868","agr",0.0907063554493657
"39061","Hamilton",1051304316,"+39.1969272","-084.5441868","forest",0.333056526826897
"39061","Hamilton",1051304316,"+39.1969272","-084.5441868","grass_shrub",0.0173833088305144
"39061","Hamilton",1051304316,"+39.1969272","-084.5441868","urb",0.554016136904908
"39061","Hamilton",1051304316,"+39.1969272","-084.5441868","wetlands",0.00377868241790066
