"GEOID","Prop.area","Value","NAME","ALAND","AWATER","INTPTLAT","INTPTLON","prop.land.area"
"39005",0.328581466334587,"4","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",0.331571743153728
"39005",0.00800183029248041,"5","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",0.00807465146496231
"39005",0.547595339267671,"6","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",0.552578765958008
"39005",0.00997297713192843,"7","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",0.0100637368533093
"39005",2.36114243469609e-05,"12","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",2.38263016365392e-05
"39005",0.000451059623731598,"14","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",0.000455164520918714
"39005",9.77024455736314e-06,"15","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",9.85915929787828e-06
"39005",7.24626471337766e-05,"16","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",7.31220981259306e-05
"39005",7.57193953195643e-05,"17","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",7.64084845585567e-05
"39005",7.49052082731174e-05,"21","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",7.55868879504002e-05
"39005",7.16484600873297e-05,"24","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",7.23005015177741e-05
"39005",1.30269927431509e-05,"25","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",1.31455457305044e-05
"39005",0.00023855680460895,"26","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",0.000240727806189861
"39005",4.07093523223464e-06,"31","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",4.10798304078262e-06
"39005",3.09391077649833e-05,"32","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",3.12206711099479e-05
"39005",2.68681725327486e-05,"36","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",2.71126880691653e-05
"39005",0.000174236027939643,"41","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",0.000175821674145496
"39005",4.96654098332626e-05,"42","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",5.01173930975479e-05
"39005",6.35065896228604e-05,"45","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",6.40845354362088e-05
"39005",0.0024116220315758,"46","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",0.00243356915335962
"39005",2.84965466256425e-05,"47","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",2.87558812854783e-05
"39005",0.000409536084362805,"61","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",0.000413263093902731
"39005",0.00109182482928533,"62","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",0.0011017610515379
"39005",0.00594193706496968,"64","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",0.00599601204632631
"39005",0.000109915251270335,"65","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",0.000110915542101131
"39005",8.14187046446928e-05,"67","Ashland",1095437984,9969104,"+40.8432735","-082.2701270",8.21596608156523e-05
"39007",0.488839544284144,"1","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.952626544824506
"39007",0.0524309994086099,"2","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.10217496189156
"39007",0.000378764015030657,"3","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.000738116748453518
"39007",0.216809247227478,"4","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.422507234709845
"39007",0.0227227924993039,"5","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.0442810643297587
"39007",0.17219257368497,"6","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.335560448069244
"39007",0.0236129260396577,"7","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.0460157129458427
"39007",8.63714051713101e-06,"12","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",1.68316361149696e-05
"39007",4.4201836764141e-05,"13","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",8.61383730589619e-05
"39007",3.556469624701e-06,"14","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",6.93067369439923e-06
"39007",1.24476436864535e-05,"15","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",2.42573579303973e-05
"39007",1.1177475963346e-05,"16","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",2.17821173252547e-05
"39007",1.2701677231075e-06,"17","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",2.47524060514258e-06
"39007",0.000278674798449786,"21","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.000543067788768283
"39007",3.3024360800795e-06,"23","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",6.43562557337072e-06
"39007",5.41091450043795e-05,"24","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.000105445249779074
"39007",3.68348639701175e-05,"25","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",7.17819775491349e-05
"39007",0.000258860181969309,"26","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.000504454035328058
"39007",1.3209744320318e-05,"27","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",2.57425022934829e-05
"39007",2.032268356972e-06,"31","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",3.96038496822813e-06
"39007",3.048402535458e-06,"35","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",5.9405774523422e-06
"39007",1.2701677231075e-06,"36","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",2.47524060514258e-06
"39007",0.00065540654512347,"41","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.00127722415225357
"39007",0.00239934682895007,"42","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.00467572950311434
"39007",4.7250239299599e-05,"43","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",9.20789505113041e-05
"39007",0.00408943200131691,"45","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.00796928465231706
"39007",0.00605641373732119,"46","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.0118024422534409
"39007",0.000783439451612707,"47","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.00152672840525195
"39007",0.000824338852296768,"61","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.00160643115273754
"39007",0.0009381458802872,"62","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.00182821271095831
"39007",1.2701677231075e-06,"63","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",2.47524060514258e-06
"39007",0.00499074301763399,"64","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.00972571538572624
"39007",0.00101359384303979,"65","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.00197524200290378
"39007",0.000481139533513121,"67","Ashtabula",1818002613,1724831775,"+41.9066381","-080.7455937",0.00093762114122801
"39009",0.00575668686029219,"1","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.00581202607596608
"39009",0.079908117181349,"2","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.0806762764781999
"39009",0.000373162890385793,"3","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.00037675011723584
"39009",0.702250185897997,"4","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.709000939489007
"39009",0.0118352779721809,"5","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.0119490508794378
"39009",0.183682940031493,"6","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.18544869003331
"39009",0.000250142157291576,"7","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.000252546781883365
"39009",1.36689703438019e-05,"14","Athens",1304308760,12538362,"+39.3325699","-082.0458376",1.38003705947194e-05
"39009",2.46041466188435e-05,"15","Athens",1304308760,12538362,"+39.3325699","-082.0458376",2.48406670704949e-05
"39009",3.55393228938851e-05,"21","Athens",1304308760,12538362,"+39.3325699","-082.0458376",3.58809635462705e-05
"39009",7.51793368909107e-06,"23","Athens",1304308760,12538362,"+39.3325699","-082.0458376",7.59020382709568e-06
"39009",7.92800279940513e-05,"24","Athens",1304308760,12538362,"+39.3325699","-082.0458376",8.00421494493726e-05
"39009",9.56827924066136e-06,"25","Athens",1304308760,12538362,"+39.3325699","-082.0458376",9.66025941630359e-06
"39009",3.62227714110751e-05,"26","Athens",1304308760,12538362,"+39.3325699","-082.0458376",3.65709820760064e-05
"39009",1.09351762750416e-05,"31","Athens",1304308760,12538362,"+39.3325699","-082.0458376",1.10402964757755e-05
"39009",1.4352418860992e-05,"32","Athens",1304308760,12538362,"+39.3325699","-082.0458376",1.44903891244554e-05
"39009",0.000188631790744467,"34","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.000190445114207128
"39009",2.8021389204794e-05,"35","Athens",1304308760,12538362,"+39.3325699","-082.0458376",2.82907597191748e-05
"39009",8.4747616131572e-05,"36","Athens",1304308760,12538362,"+39.3325699","-082.0458376",8.55622976872603e-05
"39009",0.00021050214329455,"41","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.000212525707158679
"39009",0.0027399451054151,"42","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.00276628428571151
"39009",0.000311652523838684,"43","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.000314648449559603
"39009",0.00192049033330417,"45","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.00193895206855808
"39009",0.00735527294199982,"46","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.00742597941701852
"39009",7.51793368909107e-06,"56","Athens",1304308760,12538362,"+39.3325699","-082.0458376",7.59020382709568e-06
"39009",0.00041963738955472,"61","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.000423671377257886
"39009",0.000621254702125798,"62","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.000627226843529997
"39009",7.7229682442481e-05,"63","Athens",1304308760,12538362,"+39.3325699","-082.0458376",7.79720938601647e-05
"39009",0.00158901780246698,"64","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.00160429308163613
"39009",0.000157876607470912,"65","Athens",1304308760,12538362,"+39.3325699","-082.0458376",0.000159394280369009
"39011",0.0119634620289554,"1","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",0.0119789419837554
"39011",0.0966527033862036,"2","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",0.0967777658034283
"39011",7.26263503962027e-05,"3","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",7.27203242491477e-05
"39011",0.0672191456893235,"4","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",0.0673061229651695
"39011",0.0164291179789124,"5","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",0.0164503762069322
"39011",0.801855430332741,"6","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",0.802892979980799
"39011",0.00229724063098465,"7","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",0.00230021311345221
"39011",4.32299704739302e-06,"12","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",4.32859072911594e-06
"39011",3.89069734265371e-05,"16","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",3.89573165620434e-05
"39011",3.11255787412297e-05,"17","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",3.11658532496347e-05
"39011",5.0146765749759e-05,"21","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",5.02116524577449e-05
"39011",1.03751929137432e-05,"24","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",1.03886177498782e-05
"39011",0.000488498666355411,"26","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",0.000489130752390101
"39011",1.55627893706149e-05,"27","Auglaize",1039599291,1345175,"+40.5613090","-084.2240177",1.55829266248174e-05
