"GEOID","NAME","ALAND","INTPTLAT","INTPTLON","reclass","Class.prop"
"39001","Adams",1512208955,"+38.8344683","-083.4780816","agr",0.294410076357304
"39001","Adams",1512208955,"+38.8344683","-083.4780816","forest",0.603088023305724
"39001","Adams",1512208955,"+38.8344683","-083.4780816","grass_shrub",0.0488657011135143
"39001","Adams",1512208955,"+38.8344683","-083.4780816","urb",0.0492251652762337
"39001","Adams",1512208955,"+38.8344683","-083.4780816","wetlands",0.000436237137869708
"39003","Allen",1042470091,"+40.7716274","-084.1061032","agr",0.715739571817551
"39003","Allen",1042470091,"+40.7716274","-084.1061032","forest",0.0754285657258889
"39003","Allen",1042470091,"+40.7716274","-084.1061032","grass_shrub",0.0182150519995254
"39003","Allen",1042470091,"+40.7716274","-084.1061032","urb",0.189797751172646
"39003","Allen",1042470091,"+40.7716274","-084.1061032","wetlands",0.00303454702963798
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","agr",0.555400854621394
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","forest",0.337402578864345
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","grass_shrub",0.00836028119762924
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","urb",0.0890637778883051
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","wetlands",0.0103517632753664
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","agr",0.34660834519284
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","forest",0.429054723640391
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","grass_shrub",0.0563326986864836
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","urb",0.110757030982208
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","wetlands",0.049417036305446
"39009","Athens",1304308760,"+39.3325699","-082.0458376","agr",0.192417317092631
"39009","Athens",1304308760,"+39.3325699","-082.0458376","forest",0.709973131255145
"39009","Athens",1304308760,"+39.3325699","-082.0458376","grass_shrub",0.0142190174829409
"39009","Athens",1304308760,"+39.3325699","-082.0458376","urb",0.0854886771994447
"39009","Athens",1304308760,"+39.3325699","-082.0458376","wetlands",0.000255303366268167
