"GEOID","NAME","ALAND","INTPTLAT","INTPTLON","reclass","Class.prop"
"39001","Adams",1512208955,"+38.8344683","-083.4780816","agr",0.295682198586053
"39001","Adams",1512208955,"+38.8344683","-083.4780816","forest",0.600704660715642
"39001","Adams",1512208955,"+38.8344683","-083.4780816","grass_shrub",0.0505875908220999
"39001","Adams",1512208955,"+38.8344683","-083.4780816","urb",0.04884971517329
"39001","Adams",1512208955,"+38.8344683","-083.4780816","wetlands",0.000464663088572571
"39003","Allen",1042470091,"+40.7716274","-084.1061032","agr",0.719193785480807
"39003","Allen",1042470091,"+40.7716274","-084.1061032","forest",0.0754209612968221
"39003","Allen",1042470091,"+40.7716274","-084.1061032","grass_shrub",0.0182337622184122
"39003","Allen",1042470091,"+40.7716274","-084.1061032","urb",0.186081154424431
"39003","Allen",1042470091,"+40.7716274","-084.1061032","wetlands",0.00303881660889664
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","agr",0.554725672379594
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","forest",0.336002169065588
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","grass_shrub",0.00859956966801506
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","urb",0.0907944242391137
"39005","Ashland",1095437984,"+40.8432735","-082.2701270","wetlands",0.0104786192054919
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","agr",0.34619946972542
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","forest",0.418672554138676
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","grass_shrub",0.0665343893296841
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","urb",0.110159623325723
"39007","Ashtabula",1818002613,"+41.9066381","-080.7455937","wetlands",0.0498596749058436
"39009","Athens",1304308760,"+39.3325699","-082.0458376","agr",0.192483304224751
"39009","Athens",1304308760,"+39.3325699","-082.0458376","forest",0.706559207309298
"39009","Athens",1304308760,"+39.3325699","-082.0458376","grass_shrub",0.0160815286293941
"39009","Athens",1304308760,"+39.3325699","-082.0458376","urb",0.0864682501497537
"39009","Athens",1304308760,"+39.3325699","-082.0458376","wetlands",0.000267887390872614
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","agr",0.802773431296794
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","forest",0.0671772660146989
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","grass_shrub",0.0163856904037243
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","urb",0.0996597978964683
"39011","Auglaize",1039599291,"+40.5613090","-084.2240177","wetlands",0.00234711372542924
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","agr",0.274130380142964
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","forest",0.586454638281616
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","grass_shrub",0.0356294076275435
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","urb",0.0969910925933403
"39013","Belmont",1378206782,"+40.0176819","-080.9677268","wetlands",0.00146130370621056
"39015","Brown",1269135577,"+38.9313769","-083.8667723","agr",0.530282396607989
"39015","Brown",1269135577,"+38.9313769","-083.8667723","forest",0.37060491214968
"39015","Brown",1269135577,"+38.9313769","-083.8667723","grass_shrub",0.0324097092723923
"39015","Brown",1269135577,"+38.9313769","-083.8667723","urb",0.0648215444221639
"39015","Brown",1269135577,"+38.9313769","-083.8667723","wetlands",0.000478322410330261
"39017","Butler",1209637383,"+39.4397469","-084.5657341","agr",0.461286431665258
"39017","Butler",1209637383,"+39.4397469","-084.5657341","forest",0.187922374356683
"39017","Butler",1209637383,"+39.4397469","-084.5657341","grass_shrub",0.00864653903833582
"39017","Butler",1209637383,"+39.4397469","-084.5657341","urb",0.334631981320057
"39017","Butler",1209637383,"+39.4397469","-084.5657341","wetlands",0.00160465025541759
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","agr",0.338931856902469
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","forest",0.560854872116878
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","grass_shrub",0.02269898553559
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","urb",0.0705708860340036
"39019","Carroll",1022031078,"+40.5798841","-081.0907870","wetlands",0.00294632920386245
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","agr",0.809868878069157
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","forest",0.100226171101094
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","grass_shrub",0.014298580512349
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","urb",0.0723443846920914
"39021","Champaign",1110247658,"+40.1327594","-083.7675425","wetlands",0.00115691387453309
"39023","Clark",1029469489,"+39.9170315","-083.7836760","agr",0.716830527177596
"39023","Clark",1029469489,"+39.9170315","-083.7836760","forest",0.0782321168710156
"39023","Clark",1029469489,"+39.9170315","-083.7836760","grass_shrub",0.0190969228877895
"39023","Clark",1029469489,"+39.9170315","-083.7836760","urb",0.180460984765188
"39023","Clark",1029469489,"+39.9170315","-083.7836760","wetlands",0.00269542970713413
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","agr",0.313942995313489
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","forest",0.499094002716245
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","grass_shrub",0.0262028017683785
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","urb",0.161076554639621
"39025","Clermont",1170958545,"+39.0520838","-084.1496140","wetlands",0.00233795913454779
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","agr",0.773301137591162
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","forest",0.144510042530986
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","grass_shrub",0.00199686357030692
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","urb",0.0826557064146658
"39027","Clinton",1058488036,"+39.4290042","-083.7950485","wetlands",0.000134257210258933
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","agr",0.384854421163849
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","forest",0.441958679667475
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","grass_shrub",0.0209545936166038
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","urb",0.141127256181659
"39029","Columbiana",1377695749,"+40.7700730","-080.7784550","wetlands",0.00364660790545084
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","agr",0.341177146316315
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","forest",0.555827751695131
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","grass_shrub",0.0095679387891986
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","urb",0.0782213063724538
"39031","Coshocton",1460529055,"+40.2967096","-081.9301092","wetlands",0.0059435046715915
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","agr",0.795390572458097
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","forest",0.094042477047594
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","grass_shrub",0.00635450197203379
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","urb",0.100278470066433
"39033","Crawford",1040619673,"+40.8485244","-082.9247827","wetlands",0.00126034704237044
"39035","Cuyahoga",1184000466,"+41.7603920","-081.7242168","agr",0.010245684328357
"39035","Cuyahoga",1184000466,"+41.7603920","-081.7242168","forest",0.172909330137786
"39035","Cuyahoga",1184000466,"+41.7603920","-081.7242168","grass_shrub",0.0154343258610411
"39035","Cuyahoga",1184000466,"+41.7603920","-081.7242168","urb",0.781696497847367
"39035","Cuyahoga",1184000466,"+41.7603920","-081.7242168","wetlands",0.0185531398595758
"39037","Darke",1549120990,"+40.1315416","-084.6212483","agr",0.855236731519487
"39037","Darke",1549120990,"+40.1315416","-084.6212483","forest",0.0502222242226014
"39037","Darke",1549120990,"+40.1315416","-084.6212483","grass_shrub",0.0135090746699001
"39037","Darke",1549120990,"+40.1315416","-084.6212483","urb",0.0802974340016997
"39037","Darke",1549120990,"+40.1315416","-084.6212483","wetlands",0.00133536112547707
"39039","Defiance",1065671182,"+41.3216789","-084.4864334","agr",0.793304720609267
"39039","Defiance",1065671182,"+41.3216789","-084.4864334","forest",0.0788541806976941
"39039","Defiance",1065671182,"+41.3216789","-084.4864334","grass_shrub",0.00442047642058182
"39039","Defiance",1065671182,"+41.3216789","-084.4864334","urb",0.0854692916625144
"39039","Defiance",1065671182,"+41.3216789","-084.4864334","wetlands",0.0302846072042379
"39041","Delaware",1147866798,"+40.2789411","-083.0074622","agr",0.596550808506011
"39041","Delaware",1147866798,"+40.2789411","-083.0074622","forest",0.187116525144596
"39041","Delaware",1147866798,"+40.2789411","-083.0074622","grass_shrub",0.00987378434566108
"39041","Delaware",1147866798,"+40.2789411","-083.0074622","urb",0.201016040814163
"39041","Delaware",1147866798,"+40.2789411","-083.0074622","wetlands",0.00246452542871766
"39043","Erie",651627581,"+41.5540061","-082.5258973","agr",0.578072198808521
"39043","Erie",651627581,"+41.5540061","-082.5258973","forest",0.176789721094728
"39043","Erie",651627581,"+41.5540061","-082.5258973","grass_shrub",0.00600881948373234
"39043","Erie",651627581,"+41.5540061","-082.5258973","urb",0.19756429220473
"39043","Erie",651627581,"+41.5540061","-082.5258973","wetlands",0.0246210998390688
"39045","Fairfield",1306416977,"+39.7526407","-082.6275691","agr",0.597728054754895
"39045","Fairfield",1306416977,"+39.7526407","-082.6275691","forest",0.255856892642083
"39045","Fairfield",1306416977,"+39.7526407","-082.6275691","grass_shrub",0.0081971841378855
"39045","Fairfield",1306416977,"+39.7526407","-082.6275691","urb",0.134901738148806
"39045","Fairfield",1306416977,"+39.7526407","-082.6275691","wetlands",0.0026000820304533
"39047","Fayette",1052458603,"+39.5552748","-083.4619451","agr",0.878153072009039
"39047","Fayette",1052458603,"+39.5552748","-083.4619451","forest",0.0474775994261858
"39047","Fayette",1052458603,"+39.5552748","-083.4619451","grass_shrub",0.00397434790738314
"39047","Fayette",1052458603,"+39.5552748","-083.4619451","urb",0.0685094142718386
"39047","Fayette",1052458603,"+39.5552748","-083.4619451","wetlands",0.000557383272878858
"39049","Franklin",1378342340,"+39.9693838","-083.0072731","agr",0.249836573413284
