"COMPOUND","PANChemClass","PANUseType","TysonUseType","MOA","MOA_source","AlanWoodChemClass","yr_by_county_use","total_kg","years_used","counties_used","BroadMOA","MOAuse"
"MSMA","Organoarsenic, Heavy metal","Herbicide, Defoliant","Herbicide","Z","HRAC","Arsenical",228,32348,7,114,"Z","her_Z"
"FOSAMINE","Unknown","Herbicide","Herbicide","Z","HRAC","Organophosphorus",41,3558,1,41,"Z","her_Z"
"MEFENOXAM","Xylylalanine","Fungicide","Fungicide","A1","FRAC","Amide",1813,36213,16,128,"A","fun_A"
"METALAXYL","Xylylalanine","Fungicide","Fungicide","A1","FRAC","Amide",1620,111640,16,128,"A","fun_A"
"BENOMYL","Benzimidazole","Fungicide","Fungicide","B1","FRAC","Benzimidazole, Carbamate",1783,65146,17,128,"B","fun_B"
"THIABENDAZOLE","Benzimidazole","Fungicide","Fungicide","B1","FRAC","Thiazole, Benzimidazole",2,105,1,2,"B","fun_B"
"THIOPHANATE-METHYL","Benzimidazole precursor","Fungicide","Fungicide","B1","FRAC","Carbamate, Benzimidazole precursor",2618,105737,21,128,"B","fun_B"
"ZOXAMIDE","Unknown","Fungicide","Fungicide","B3","FRAC","Amide",302,1731,12,75,"B","fun_B"
"FLUOPICOLIDE","Unknown","Fungicide","Fungicide","B5","FRAC","Amide",210,841,5,108,"B","fun_B"
"PENTHIOPYRAD","Amide, Pyrazole","Fungicide","Fungicide","C2","FRAC","Amide, Pyrazole",14,25,1,14,"C","fun_C"
"BOSCALID","Anilide","Fungicide","Fungicide","C2","FRAC","Amide, Pyridine",787,5186,9,126,"C","fun_C"
"FLUTOLANIL","Anilide","Fungicide","Fungicide","C2","FRAC","Amide",16,613,5,5,"C","fun_C"
"CARBOXIN","Carboxamide","Fungicide","Fungicide","C2","FRAC","Amide, Oxathiin",481,15786,7,95,"C","fun_C"
"FAMOXADONE","Dicarboximide","Fungicide","Fungicide","C3","FRAC","Oxazole, Dicarboximide",881,7800,9,126,"C","fun_C"
"AZOXYSTROBIN","Strobin","Fungicide","Fungicide","C3","FRAC","Antibiotic",1895,190740,16,128,"C","fun_C"
"FLUOXASTROBIN","Strobin","Fungicide","Fungicide","C3","FRAC","Antibiotic",119,9367,2,81,"C","fun_C"
"KRESOXIM-METHYL","Strobin","Fungicide","Fungicide","C3","FRAC","Antibiotic",1336,9007,14,124,"C","fun_C"
"PYRACLOSTROBIN","Strobin","Fungicide","Fungicide","C3","FRAC","Antibiotic",1251,211683,10,128,"C","fun_C"
"TRIFLOXYSTROBIN","Strobin","Fungicide","Fungicide","C3","FRAC","Antibiotic",1571,53321,13,128,"C","fun_C"
"CYAZOFAMID","Azole","Fungicide","Fungicide","C4","FRAC","Amide, imidazole",318,1170,7,78,"C","fun_C"
"FLUAZINAM","2,6-Dinitroaniline","Fungicide","Fungicide","C5","FRAC","Pyridine",57,894,6,18,"C","fun_C"
"DINOCAP","Dinitrophenol derivative","Fungicide, Insecticide","Fungicide","C5","FRAC","Dinitrophenol",64,236,2,64,"C","fun_C"
"FENTIN","Organotin, Heavy metal","Fungicide, Molluscicide, Herbicide","Fungicide","C6","FRAC","Organotin",679,13351,21,60,"C","fun_C"
"CYPRODINIL","Pyrimidine","Fungicide","Fungicide","D1","FRAC","Pyrimidine",1574,6704,14,126,"D","fun_D"
"PYRIMETHANIL","Pyrimidine","Fungicide","Fungicide","D1","FRAC","Pyrimidine",674,5487,8,112,"D","fun_D"
"KASUGAMYCIN","Antibiotic","Fungicide, Microbiocide","Fungicide","D3","FRAC","Antibiotic",15,4,1,15,"D","fun_D"
"OXYTETRACYCLINE","Antibiotic","Fungicide, Microbiocide","Fungicide","D5","FRAC","Bactericides",100,99,13,24,"D","fun_D"
"QUINOXYFEN","Quinoline","Fungicide","Fungicide","E1","FRAC","Quinoline",315,1882,9,96,"E","fun_E"
"FLUDIOXONIL","Unclassified","Fungicide","Fungicide","E2","FRAC","Pyrrole",1001,9087,11,118,"E","fun_E"
"IPRODIONE","Dicarboximide","Fungicide","Fungicide","E3","FRAC","Dicarboximide, Imidazole",830,25688,21,117,"E","fun_E"
"VINCLOZOLIN","Dicarboximide","Fungicide","Fungicide","E3","FRAC","Oxazole, Dicarboximide",626,6270,13,97,"E","fun_E"
"ETRIDIAZOLE","Azole","Fungicide","Fungicide","F3","FRAC","Thiadiazole",56,5635,2,56,"F","fun_F"
"DICLORAN","Substituted Benzene","Fungicide","Fungicide","F3","FRAC","Aromatic",85,876,2,48,"F","fun_F"
"QUINTOZENE","Substituted Benzene","Fungicide, Nematicide, Algaecide","Fungicide","F3","FRAC","Aromatic",359,33301,16,107,"F","fun_F"
"PROPAMOCARB HCL","Other Carbamate","Fungicide","Fungicide","F4","FRAC","Carbamate",693,26681,16,110,"F","fun_F"
"DIMETHOMORPH","Morpholine","Fungicide","Fungicide","F5","FRAC","Morpholine",612,2978,15,110,"F","fun_F"
"MANDIPROPAMID","Unknown","Fungicide","Fungicide","F5","FRAC","Amide",235,1432,5,92,"F","fun_F"
"BACILLUS SUBTILIS","Microbial","Fungicide","Fungicide","F6","FRAC",NA,174,665,8,75,"F","fun_F"
"CYPROCONAZOLE","Azole","Fungicide","Fungicide","G1","FRAC","Conazole, triazole",202,27391,4,58,"G","fun_G"
"DIFENOCONAZOLE","Azole","Fungicide","Fungicide","G1","FRAC","Conazole, triazole",484,3061,5,124,"G","fun_G"
"FENBUCONAZOLE","Azole","Fungicide","Fungicide","G1","FRAC","Conazole, triazole",1086,4176,18,115,"G","fun_G"
"FLUSILAZOLE","Azole","Fungicide","Fungicide","G1","FRAC","Conazole, triazole",74,4344,2,44,"G","fun_G"
"IMAZALIL","Azole","Fungicide","Fungicide","G1","FRAC","Conazole, Imidazole",129,146,2,78,"G","fun_G"
"IPCONAZOLE","Azole","Fungicide","Fungicide","G1","FRAC","Conazole, triazole",267,480,3,104,"G","fun_G"
"METCONAZOLE","Azole","Fungicide","Fungicide","G1","FRAC","Conazole, triazole",383,11656,5,121,"G","fun_G"
"MYCLOBUTANIL","Azole","Fungicide","Fungicide","G1","FRAC","Conazole, triazole",2595,34206,21,127,"G","fun_G"
"PROPICONAZOLE","Azole","Fungicide","Fungicide","G1","FRAC","Conazole, triazole",2597,225507,21,128,"G","fun_G"
"PROTHIOCONAZOLE","Azole","Fungicide","Fungicide","G1","FRAC","Conazole, triazole",528,30794,6,118,"G","fun_G"
"TEBUCONAZOLE","Azole","Fungicide","Fungicide","G1","FRAC","Conazole, triazole",1155,58977,16,121,"G","fun_G"
"TETRACONAZOLE","Azole","Fungicide","Fungicide","G1","FRAC","Conazole, triazole",743,35318,14,111,"G","fun_G"
"TRIADIMEFON","Azole","Fungicide","Fungicide","G1","FRAC","Conazole, triazole",1619,21032,18,127,"G","fun_G"
"TRIFLUMIZOLE","Azole","Fungicide","Fungicide","G1","FRAC","Conazole, Imidazole",603,6684,15,113,"G","fun_G"
"FENARIMOL","Pyrimidine","Fungicide","Fungicide","G1","FRAC","Pyrimidine",2406,10839,21,124,"G","fun_G"
"TRIFORINE","Unclassified","Fungicide, Insecticide","Fungicide","G1","FRAC","Amide",381,1524,6,116,"G","fun_G"
"FENHEXAMID","Anilide","Fungicide","Fungicide","G3","FRAC","Amide",663,8156,13,92,"G","fun_G"
"THIRAM","Dithiocarbamate","Fungicide","Fungicide","Multi-site","FRAC","Dithiocarbamate",1441,79233,21,128,"M","fun_M"
"ZIRAM","Dithiocarbamate, Inorganic-Zinc","Fungicide, Microbiocide, Dog and Cat Repellent","Fungicide","Multi-site","FRAC","Dithiocarbamate",2460,536384,21,127,"M","fun_M"
"FERBAM","Dithiocarbamate-ETU","Fungicide","Fungicide","Multi-site","FRAC","Dithiocarbamate",971,55168,16,125,"M","fun_M"
"MANEB","Dithiocarbamate-ETU","Fungicide","Fungicide","Multi-site","FRAC","Dithiocarbamate",1744,377822,21,127,"M","fun_M"
"MANCOZEB","Dithiocarbamate-ETU, Inorganic-Zinc","Fungicide","Fungicide","Multi-site","FRAC","Dithiocarbamate, zinc",2670,2089800,21,128,"M","fun_M"
"METIRAM","Dithiocarbamate-ETU, Inorganic-Zinc","Fungicide","Fungicide","Multi-site","FRAC","Dithiocarbamate, zinc",2587,769988,21,127,"M","fun_M"
"ZINEB","Dithiocarbamate-ETU, Inorganic-Zinc","Fungicide","Fungicide","Multi-site","FRAC","Dithiocarbamate, zinc",85,2440,3,66,"M","fun_M"
"SULFUR","Inorganic","Fungicide, Insecticide","Fungicide","Multi-site","FRAC","Inorganic",2589,1509900,21,127,"M","fun_M"
"COPPER","Inorganic-Copper","Fungicide","Fungicide","Multi-site","FRAC","Copper",435,14457,16,79,"M","fun_M"
"CHLOROTHALONIL","Substituted Benzene","Fungicide","Fungicide","Multi-site","FRAC","Aromatic",2643,1624770,21,128,"M","fun_M"
"CAPTAFOL","Thiophthalimide","Fungicide","Fungicide","Multi-site","FRAC","Dicarboximide",33,472,1,33,"M","fun_M"
"CAPTAN","Thiophthalimide","Fungicide","Fungicide","Multi-site","FRAC","Dicarboximide",2644,1365550,21,128,"M","fun_M"
"ANILAZINE","Triazine","Fungicide","Fungicide","Multi-site","FRAC","Triazine",199,16542,4,78,"M","fun_M"
"ACIBENZOLAR","Unclassified","Fungicide","Fungicide","P1","FRAC","Unclassified",143,95,11,25,"P","fun_P"
"DODINE","Guanidine","Fungicide, Microbiocide","Fungicide","UN","FRAC","Aliphatic nitrogen",2121,53924,21,124,"U","fun_U"
"PHOSPHORIC ACID","Inorganic","Fungicide, Herbicide, Microbiocide, pH Adjustment","Fungicide","UN","FRAC",NA,204,26044,10,49,"U","fun_U"
"CYMOXANIL","Unclassified","Fungicide","Fungicide","UN","FRAC","Aliphatic nitrogen",1104,12518,18,126,"U","fun_U"
"METRAFENONE","Unclassified","Fungicide","Fungicide","UN","FRAC","Aryl Phenyl Ketone",2,73,1,2,"U","fun_U"
"FOSETYL","Unknown","Fungicide","Fungicide","UN","FRAC","Organophosphorus",328,10870,15,93,"U","fun_U"
