"COMPOUND","PANChemClass","PANUseType","TysonUseType","MOA","MOA_source","AlanWoodChemClass","yr_by_county_use","total_kg","years_used","counties_used","BroadMOA","MOAuse"
"FENAMIPHOS","Organophosphorus","Insecticide, Nematicide","Insecticide","1B","IRAC","Organophosphorus",146,4601,12,57,"1","ins_1"
"MALATHION","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",2243,336257,21,128,"1","ins_1"
"METHAMIDOPHOS","Organophosphorus","Insecticide, Breakdown product","Insecticide","1B","IRAC","Organophosphorus",809,56513,19,107,"1","ins_1"
"METHIDATHION","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",245,770,7,102,"1","ins_1"
"METHYL PARATHION","Organophosphorus","Insecticide, Nematicide","Insecticide","1B","IRAC","Organophosphorus",1594,292380,19,128,"1","ins_1"
"MEVINPHOS","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",63,453,4,21,"1","ins_1"
"NALED","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",102,749,3,46,"1","ins_1"
"OXYDEMETON-METHYL","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",346,10420,9,75,"1","ins_1"
"PARATHION","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",434,238261,6,126,"1","ins_1"
"PHORATE","Organophosphorus","Insecticide, Nematicide","Insecticide","1B","IRAC","Organophosphorus",1787,718710,20,128,"1","ins_1"
"PHOSMET","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Phthalimide",2604,706747,21,128,"1","ins_1"
"PHOSPHAMIDON","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",26,810,5,19,"1","ins_1"
"TEBUPIRIMPHOS","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",2074,122807,17,128,"1","ins_1"
"TERBUFOS","Organophosphorus","Insecticide, Nematicide","Insecticide","1B","IRAC","Organophosphorus",2472,1498760,21,128,"1","ins_1"
"TRICHLORFON","Organophosphorus","Insecticide","Insecticide","1B","IRAC","Organophosphorus",51,148989,2,51,"1","ins_1"
"HYDRAMETHYLNON","Unclassified","Insecticide","Insecticide","20A","IRAC","Unclassified",30,4,1,30,"20","ins_20"
"ACEQUINOCYL","Unclassified","Insecticide, acaricide","Insecticide","20B","IRAC","Unclassified",2,2,1,2,"20","ins_20"
"FENPYROXIMATE","Pyrazole","Insecticide","Insecticide","21A","IRAC","Pyrazole",47,15,9,20,"21","ins_21"
"PYRIDABEN","Unclassified","Insecticide","Insecticide","21A","IRAC","Unclassified",1692,2736,16,124,"21","ins_21"
"ROTENONE","Botanical","Insecticide","Insecticide","21B","IRAC","Botanical",201,5552,7,102,"21","ins_21"
"INDOXACARB","Unclassified","Insecticide","Insecticide","22A","IRAC","Oxadiazine",1072,1794,12,126,"22","ins_22"
"ENDOSULFAN","Organochlorine","Insecticide","Insecticide","2A","IRAC","Organochlorine",2645,271457,21,128,"2","ins_2"
"FIPRONIL","Pyrazole","Insecticide","Insecticide","2B","IRAC","Pyrazole",1471,62117,15,128,"2","ins_2"
"PYRETHRINS","Botanical, Pyrethroid","Insecticide","Insecticide","3A","IRAC","Botanical",196,134,18,68,"3","ins_3"
"BIFENTHRIN","Pyrethroid","Insecticide","Insecticide","3A","IRAC","Pyrethroid",1706,80193,16,128,"3","ins_3"
"CYFLUTHRIN","Pyrethroid","Insecticide","Insecticide","3A","IRAC","Pyrethroid",2195,34660,19,128,"3","ins_3"
"CYHALOTHRIN-GAMMA","Pyrethroid","Insecticide","Insecticide","3A","IRAC","Pyrethroid",771,5421,9,123,"3","ins_3"
"CYHALOTHRIN-LAMBDA","Pyrethroid","Insecticide","Insecticide","3A","IRAC","Pyrethroid",2245,104503,18,128,"3","ins_3"
"CYPERMETHRIN","Pyrethroid","Insecticide","Insecticide","3A","IRAC","Pyrethroid",167,7459,6,89,"3","ins_3"
"DELTAMETHRIN","Pyrethroid","Insecticide","Insecticide","3A","IRAC","Pyrethroid",394,4145,7,104,"3","ins_3"
"ESFENVALERATE","Pyrethroid","Insecticide","Insecticide","3A","IRAC","Pyrethroid",2676,55164,21,128,"3","ins_3"
"FENPROPATHRIN","Pyrethroid","Insecticide","Insecticide","3A","IRAC","Pyrethroid",1055,10400,14,125,"3","ins_3"
"FENVALERATE","Pyrethroid","Insecticide","Insecticide","3A","IRAC","Pyrethroid",139,776,4,100,"3","ins_3"
"PERMETHRIN","Pyrethroid","Insecticide","Insecticide","3A","IRAC","Pyrethroid",2688,286833,21,128,"3","ins_3"
"TEFLUTHRIN","Pyrethroid","Insecticide","Insecticide","3A","IRAC","Pyrethroid",2640,228212,21,128,"3","ins_3"
"ZETA-CYPERMETHRIN","Pyrethroid","Insecticide","Insecticide","3A","IRAC","Pyrethroid",1390,31769,16,128,"3","ins_3"
"METHOXYCHLOR","Organochlorine","Insecticide","Insecticide","3B","IRAC","Organochlorine",331,58660,12,115,"3","ins_3"
"DINOTEFURAN","Guanidine , Neonicotinoid","Insecticide","Insecticide","4A","IRAC","Neonicotinoid",38,188,4,35,"4","ins_4"
"ACETAMIPRID","Neonicotinoid","Insecticide","Insecticide","4A","IRAC","Neonicotinoid",1099,2507,10,124,"4","ins_4"
"CLOTHIANIDIN","Neonicotinoid","Insecticide","Insecticide","4A","IRAC","Neonicotinoid",1137,237377,9,128,"4","ins_4"
"IMIDACLOPRID","Neonicotinoid","Insecticide","Insecticide","4A","IRAC","Neonicotinoid",2242,177877,18,128,"4","ins_4"
"THIACLOPRID","Neonicotinoid","Insecticide","Insecticide","4A","IRAC","Neonicotinoid",516,2108,9,82,"4","ins_4"
"THIAMETHOXAM","Neonicotinoid","Insecticide","Insecticide","4A","IRAC","Neonicotinoid",1248,141449,12,128,"4","ins_4"
"SODIUM METABORATE","Inorganic","Insecticide","Insecticide","8D","IRAC","Inorganic",50,12492,4,18,"8","ins_8"
"PYMETROZINE","Triazine","Insecticide","Insecticide","9B","IRAC","Antifeedants",328,1082,10,80,"9","ins_9"
"FLONICAMID","Unclassified","Insecticide","Insecticide","9C","IRAC","Unclassified",97,94,3,67,"9","ins_9"
"AZADIRACHTIN","Botanical","Insecticide, Nematicide","Insecticide","UN","IRAC","Botanical",124,639,7,88,"U","ins_U"
"CRYOLITE","Inorganic","Insecticide","Insecticide","UN","IRAC","Fluorine",125,36257,8,35,"U","ins_U"
"DICOFOL","Organochlorine","Insecticide, acaricide","Insecticide","UN","IRAC","Bridged diphenyl",885,11214,17,120,"U","ins_U"
"BIFENAZATE","Unclassified","Insecticide","Insecticide","UN","IRAC","Carbazate",166,364,7,100,"U","ins_U"
"FENOXAPROP","Aryloxyphenoxy propionic acid","Herbicide","Herbicide","A","HRAC","Phenoxy",2154,109254,21,116,"A","her_A"
"FLUAZIFOP","Aryloxyphenoxy propionic acid","Herbicide","Herbicide","A","HRAC","Phenoxy",2355,286994,21,128,"A","her_A"
"QUIZALOFOP","Aryloxyphenoxy propionic acid","Herbicide","Herbicide","A","HRAC","Phenoxy",2259,97408,21,119,"A","her_A"
"DICLOFOP","Aryloxyphenoxy propionic acid , Chlorophenoxy acid or ester","Herbicide","Herbicide","A","HRAC","Phenoxy",249,22109,17,83,"A","her_A"
"CLETHODIM","Cyclohexenone derivative","Herbicide","Herbicide","A","HRAC","Cyclohexene oxime",2457,309742,21,125,"A","her_A"
"SETHOXYDIM","Cyclohexenone derivative","Herbicide","Herbicide","A","HRAC","Cyclohexene oxime",2568,369273,21,128,"A","her_A"
"TRALKOXYDIM","Cyclohexenone derivative","Herbicide","Herbicide","A","HRAC","Cyclohexene oxime",59,239,2,59,"A","her_A"
"PINOXADEN","Unknown","Herbicide","Herbicide","A","HRAC","Pyrazole",56,385,5,19,"A","her_A"
"IMAZAMETHABENZ","Imidazolinone","Herbicide","Herbicide","B","HRAC","Imidazolinone",64,481,2,64,"B","her_B"
"IMAZAMOX","Imidazolinone","Herbicide","Herbicide","B","HRAC","Imidazolinone",1594,33671,16,116,"B","her_B"
"IMAZAPYR","Imidazolinone","Herbicide","Herbicide","B","HRAC","Imidazolinone",1720,12261,16,127,"B","her_B"
"IMAZAQUIN","Imidazolinone","Herbicide, Plant Growth Regulator","Herbicide","B","HRAC","Imidazolinone",2418,539089,21,125,"B","her_B"
"IMAZETHAPYR","Imidazolinone","Herbicide, Plant Growth Regulator","Herbicide","B","HRAC","Imidazolinone",2642,297121,21,128,"B","her_B"
"CHLORIMURON","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea",2407,259281,21,123,"B","her_B"
"CHLORSULFURON","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea",526,6226,20,89,"B","her_B"
"FORAMSULFURON","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea",1250,10071,11,124,"B","her_B"
"HALOSULFURON","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea, pyrazole",2182,19429,18,128,"B","her_B"
"IODOSULFURON","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea",714,989,10,109,"B","her_B"
"MESOSULFURON","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea",79,351,5,19,"B","her_B"
"METSULFURON","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea",1763,2000,21,118,"B","her_B"
"NICOSULFURON","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea",2645,58602,21,128,"B","her_B"
"PRIMISULFURON","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea",2578,22312,21,127,"B","her_B"
"PROSULFURON","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea",2044,15839,18,127,"B","her_B"
"RIMSULFURON","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea",2187,27767,18,127,"B","her_B"
"SULFOSULFURON","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea",47,294,1,47,"B","her_B"
"THIFENSULFURON","Sulfonylurea","Breakdown product, Herbicide","Herbicide","B","HRAC","Urea",2540,34967,21,127,"B","her_B"
"TRIASULFURON","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea",798,4068,19,47,"B","her_B"
"TRIBENURON METHYL","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea",2401,19011,21,125,"B","her_B"
"TRIFLUSULFURON","Sulfonylurea","Herbicide","Herbicide","B","HRAC","Urea",135,272,12,12,"B","her_B"
"CLORANSULAM-METHYL","Triazolopyrimidine","Herbicide","Herbicide","B","HRAC","Triazolopyrimidine, amide",1662,47360,15,121,"B","her_B"
"FLUMETSULAM","Triazolopyrimidine","Herbicide","Herbicide","B","HRAC","Triazolopyrimidine, amide",2436,159556,20,128,"B","her_B"
"PYROXSULAM","Triazolopyrimidine","Herbicide","Herbicide","B","HRAC","Triazolopyrimidine, amide, pyridine",182,709,4,55,"B","her_B"
"DESMEDIPHAM","Bis-Carbamate","Herbicide","Herbicide","C1","HRAC","Carbamate",221,5444,16,43,"C","her_C"
"PHENMEDIPHAM","Bis-Carbamate","Herbicide","Herbicide","C1","HRAC","Carbamate",221,5115,16,43,"C","her_C"
"CHLORIDAZON","Pyridazinone","Herbicide","Herbicide","C1","HRAC","Pyridazinone",259,71180,16,59,"C","her_C"
"AMETRYN","Triazine","Herbicide","Herbicide","C1","HRAC","Triazine",62,12120,2,62,"C","her_C"
"ATRAZINE","Triazine","Herbicide","Herbicide","C1","HRAC","Triazine",2688,45236800,21,128,"C","her_C"
"CYANAZINE","Triazine","Herbicide","Herbicide","C1","HRAC","Triazine",1608,6145780,15,128,"C","her_C"
"PROMETON","Triazine","Herbicide","Herbicide","C1","HRAC","Triazine",636,11421,6,114,"C","her_C"
"PROMETRYN","Triazine","Herbicide","Herbicide","C1","HRAC","Triazine",4,668,3,2,"C","her_C"
"SIMAZINE","Triazine","Herbicide","Herbicide","C1","HRAC","Triazine",2687,4161160,21,128,"C","her_C"
"HEXAZINONE","Triazinone","Herbicide","Herbicide","C1","HRAC","Triazinone",843,56152,18,128,"C","her_C"
"METRIBUZIN","Triazinone","Herbicide","Herbicide","C1","HRAC","Triazinone",2677,2548610,21,128,"C","her_C"
"BROMACIL","Uracil","Herbicide","Herbicide","C1","HRAC","Uracil",86,543,3,62,"C","her_C"
"TERBACIL","Uracil","Herbicide","Herbicide","C1","HRAC","Uracil",2515,41960,21,127,"C","her_C"
"DIURON","Urea","Herbicide","Herbicide","C2","HRAC","Urea",2589,177997,21,127,"C","her_C"
"LINURON","Urea","Herbicide","Herbicide","C2","HRAC","Urea",2402,1030470,21,128,"C","her_C"
"TEBUTHIURON","Urea","Herbicide","Herbicide","C2","HRAC","Urea",1045,24743,16,128,"C","her_C"
"BROMOXYNIL","Hydroxybenzonitrile","Herbicide","Herbicide","C3","HRAC","Nitrile",2392,602872,21,128,"C","her_C"
"BENTAZONE","Unclassified","Herbicide","Herbicide","C3","HRAC","Unclassified",2609,2048780,21,128,"C","her_C"
"PYRIDATE","Unknown","Herbicide","Herbicide","C3","HRAC","Pyridazine",82,994,5,40,"C","her_C"
