COMPOUND,PANChemClass,PANUseType,TysonUseType,MOA,MOA_source,AlanWoodChemClass,yr_by_county_use,total_kg,years_used,counties_used
FERBAM,Dithiocarbamate-ETU,Fungicide,Fungicide,Multi-site,FRAC,Dithiocarbamate,971,55168,16,125
MANEB,Dithiocarbamate-ETU,Fungicide,Fungicide,Multi-site,FRAC,Dithiocarbamate,1744,377822,21,127
MANCOZEB,"Dithiocarbamate-ETU, Inorganic-Zinc",Fungicide,Fungicide,Multi-site,FRAC,"Dithiocarbamate, zinc",2670,2089800,21,128
METIRAM,"Dithiocarbamate-ETU, Inorganic-Zinc",Fungicide,Fungicide,Multi-site,FRAC,"Dithiocarbamate, zinc",2587,769988,21,127
ZINEB,"Dithiocarbamate-ETU, Inorganic-Zinc",Fungicide,Fungicide,Multi-site,FRAC,"Dithiocarbamate, zinc",85,2440,3,66
SULFUR,Inorganic,"Fungicide, Insecticide",Fungicide,Multi-site,FRAC,Inorganic,2589,1509900,21,127
COPPER,Inorganic-Copper,Fungicide,Fungicide,Multi-site,FRAC,Copper,435,14457,16,79
CHLOROTHALONIL,Substituted Benzene,Fungicide,Fungicide,Multi-site,FRAC,Aromatic,2643,1624770,21,128
CAPTAFOL,Thiophthalimide,Fungicide,Fungicide,Multi-site,FRAC,Dicarboximide,33,472,1,33
CAPTAN,Thiophthalimide,Fungicide,Fungicide,Multi-site,FRAC,Dicarboximide,2644,1365550,21,128
ANILAZINE,Triazine,Fungicide,Fungicide,Multi-site,FRAC,Triazine,199,16542,4,78
ACIBENZOLAR,Unclassified,Fungicide,Fungicide,P1,FRAC,Unclassified,143,95,11,25
DODINE,Guanidine,"Fungicide, Microbiocide",Fungicide,UN,FRAC,Aliphatic nitrogen,2121,53924,21,124
PHOSPHORIC ACID,Inorganic,"Fungicide, Herbicide, Microbiocide, pH Adjustment",Fungicide,UN,FRAC,NA,204,26044,10,49
CYMOXANIL,Unclassified,Fungicide,Fungicide,UN,FRAC,Aliphatic nitrogen,1104,12518,18,126
METRAFENONE,Unclassified,Fungicide,Fungicide,UN,FRAC,Aryl Phenyl Ketone,2,73,1,2
FOSETYL,Unknown,Fungicide,Fungicide,UN,FRAC,Organophosphorus,328,10870,15,93
FENOXAPROP,Aryloxyphenoxy propionic acid,Herbicide,Herbicide,A,HRAC,Phenoxy,2154,109254,21,116
FLUAZIFOP,Aryloxyphenoxy propionic acid,Herbicide,Herbicide,A,HRAC,Phenoxy,2355,286994,21,128
QUIZALOFOP,Aryloxyphenoxy propionic acid,Herbicide,Herbicide,A,HRAC,Phenoxy,2259,97408,21,119
DICLOFOP,"Aryloxyphenoxy propionic acid , Chlorophenoxy acid or ester",Herbicide,Herbicide,A,HRAC,Phenoxy,249,22109,17,83
CLETHODIM,Cyclohexenone derivative,Herbicide,Herbicide,A,HRAC,Cyclohexene oxime,2457,309742,21,125
SETHOXYDIM,Cyclohexenone derivative,Herbicide,Herbicide,A,HRAC,Cyclohexene oxime,2568,369273,21,128
TRALKOXYDIM,Cyclohexenone derivative,Herbicide,Herbicide,A,HRAC,Cyclohexene oxime,59,239,2,59
PINOXADEN,Unknown,Herbicide,Herbicide,A,HRAC,Pyrazole,56,385,5,19
IMAZAMETHABENZ,Imidazolinone,Herbicide,Herbicide,B,HRAC,Imidazolinone,64,481,2,64
IMAZAMOX,Imidazolinone,Herbicide,Herbicide,B,HRAC,Imidazolinone,1594,33671,16,116
IMAZAPYR,Imidazolinone,Herbicide,Herbicide,B,HRAC,Imidazolinone,1720,12261,16,127
IMAZAQUIN,Imidazolinone,"Herbicide, Plant Growth Regulator",Herbicide,B,HRAC,Imidazolinone,2418,539089,21,125
IMAZETHAPYR,Imidazolinone,"Herbicide, Plant Growth Regulator",Herbicide,B,HRAC,Imidazolinone,2642,297121,21,128
CHLORIMURON,Sulfonylurea,Herbicide,Herbicide,B,HRAC,Urea,2407,259281,21,123
CHLORSULFURON,Sulfonylurea,Herbicide,Herbicide,B,HRAC,Urea,526,6226,20,89
FORAMSULFURON,Sulfonylurea,Herbicide,Herbicide,B,HRAC,Urea,1250,10071,11,124
HALOSULFURON,Sulfonylurea,Herbicide,Herbicide,B,HRAC,"Urea, pyrazole",2182,19429,18,128
IODOSULFURON,Sulfonylurea,Herbicide,Herbicide,B,HRAC,Urea,714,989,10,109
MESOSULFURON,Sulfonylurea,Herbicide,Herbicide,B,HRAC,Urea,79,351,5,19
METSULFURON,Sulfonylurea,Herbicide,Herbicide,B,HRAC,Urea,1763,2000,21,118
NICOSULFURON,Sulfonylurea,Herbicide,Herbicide,B,HRAC,Urea,2645,58602,21,128
PRIMISULFURON,Sulfonylurea,Herbicide,Herbicide,B,HRAC,Urea,2578,22312,21,127
PROSULFURON,Sulfonylurea,Herbicide,Herbicide,B,HRAC,Urea,2044,15839,18,127
RIMSULFURON,Sulfonylurea,Herbicide,Herbicide,B,HRAC,Urea,2187,27767,18,127
SULFOSULFURON,Sulfonylurea,Herbicide,Herbicide,B,HRAC,Urea,47,294,1,47
THIFENSULFURON,Sulfonylurea,"Breakdown product, Herbicide",Herbicide,B,HRAC,Urea,2540,34967,21,127
TRIASULFURON,Sulfonylurea,Herbicide,Herbicide,B,HRAC,Urea,798,4068,19,47
TRIBENURON METHYL,Sulfonylurea,Herbicide,Herbicide,B,HRAC,Urea,2401,19011,21,125
TRIFLUSULFURON,Sulfonylurea,Herbicide,Herbicide,B,HRAC,Urea,135,272,12,12
CLORANSULAM-METHYL,Triazolopyrimidine,Herbicide,Herbicide,B,HRAC,"Triazolopyrimidine, amide",1662,47360,15,121
FLUMETSULAM,Triazolopyrimidine,Herbicide,Herbicide,B,HRAC,"Triazolopyrimidine, amide",2436,159556,20,128
PYROXSULAM,Triazolopyrimidine,Herbicide,Herbicide,B,HRAC,"Triazolopyrimidine, amide, pyridine",182,709,4,55
