COMPOUND,PANChemClass,PANUseType,TysonUseType,MOA,MOA_source,AlanWoodChemClass,yr_by_county_use,total_kg,years_used,counties_used
OXYDEMETON-METHYL,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,346,10420,9,75
PARATHION,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,434,238261,6,126
PHORATE,Organophosphorus,"Insecticide, Nematicide",Insecticide,1B,IRAC,Organophosphorus,1787,718710,20,128
PHOSMET,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Phthalimide,2604,706747,21,128
PHOSPHAMIDON,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,26,810,5,19
TEBUPIRIMPHOS,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,2074,122807,17,128
TERBUFOS,Organophosphorus,"Insecticide, Nematicide",Insecticide,1B,IRAC,Organophosphorus,2472,1498760,21,128
TRICHLORFON,Organophosphorus,Insecticide,Insecticide,1B,IRAC,Organophosphorus,51,148989,2,51
HYDRAMETHYLNON,Unclassified,Insecticide,Insecticide,20A,IRAC,Unclassified,30,4,1,30
ACEQUINOCYL,Unclassified,"Insecticide, acaricide",Insecticide,20B,IRAC,Unclassified,2,2,1,2
FENPYROXIMATE,Pyrazole,Insecticide,Insecticide,21A,IRAC,Pyrazole,47,15,9,20
PYRIDABEN,Unclassified,Insecticide,Insecticide,21A,IRAC,Unclassified,1692,2736,16,124
ROTENONE,Botanical,Insecticide,Insecticide,21B,IRAC,Botanical,201,5552,7,102
INDOXACARB,Unclassified,Insecticide,Insecticide,22A,IRAC,Oxadiazine,1072,1794,12,126
ENDOSULFAN,Organochlorine,Insecticide,Insecticide,2A,IRAC,Organochlorine,2645,271457,21,128
FIPRONIL,Pyrazole,Insecticide,Insecticide,2B,IRAC,Pyrazole,1471,62117,15,128
PYRETHRINS,"Botanical, Pyrethroid",Insecticide,Insecticide,3A,IRAC,Botanical,196,134,18,68
BIFENTHRIN,Pyrethroid,Insecticide,Insecticide,3A,IRAC,Pyrethroid,1706,80193,16,128
CYFLUTHRIN,Pyrethroid,Insecticide,Insecticide,3A,IRAC,Pyrethroid,2195,34660,19,128
CYHALOTHRIN-GAMMA,Pyrethroid,Insecticide,Insecticide,3A,IRAC,Pyrethroid,771,5421,9,123
CYHALOTHRIN-LAMBDA,Pyrethroid,Insecticide,Insecticide,3A,IRAC,Pyrethroid,2245,104503,18,128
CYPERMETHRIN,Pyrethroid,Insecticide,Insecticide,3A,IRAC,Pyrethroid,167,7459,6,89
DELTAMETHRIN,Pyrethroid,Insecticide,Insecticide,3A,IRAC,Pyrethroid,394,4145,7,104
ESFENVALERATE,Pyrethroid,Insecticide,Insecticide,3A,IRAC,Pyrethroid,2676,55164,21,128
FENPROPATHRIN,Pyrethroid,Insecticide,Insecticide,3A,IRAC,Pyrethroid,1055,10400,14,125
FENVALERATE,Pyrethroid,Insecticide,Insecticide,3A,IRAC,Pyrethroid,139,776,4,100
PERMETHRIN,Pyrethroid,Insecticide,Insecticide,3A,IRAC,Pyrethroid,2688,286833,21,128
TEFLUTHRIN,Pyrethroid,Insecticide,Insecticide,3A,IRAC,Pyrethroid,2640,228212,21,128
ZETA-CYPERMETHRIN,Pyrethroid,Insecticide,Insecticide,3A,IRAC,Pyrethroid,1390,31769,16,128
METHOXYCHLOR,Organochlorine,Insecticide,Insecticide,3B,IRAC,Organochlorine,331,58660,12,115
DINOTEFURAN,"Guanidine , Neonicotinoid",Insecticide,Insecticide,4A,IRAC,Neonicotinoid,38,188,4,35
ACETAMIPRID,Neonicotinoid,Insecticide,Insecticide,4A,IRAC,Neonicotinoid,1099,2507,10,124
CLOTHIANIDIN,Neonicotinoid,Insecticide,Insecticide,4A,IRAC,Neonicotinoid,1137,237377,9,128
IMIDACLOPRID,Neonicotinoid,Insecticide,Insecticide,4A,IRAC,Neonicotinoid,2242,177877,18,128
THIACLOPRID,Neonicotinoid,Insecticide,Insecticide,4A,IRAC,Neonicotinoid,516,2108,9,82
THIAMETHOXAM,Neonicotinoid,Insecticide,Insecticide,4A,IRAC,Neonicotinoid,1248,141449,12,128
SODIUM METABORATE,Inorganic,Insecticide,Insecticide,8D,IRAC,Inorganic,50,12492,4,18
PYMETROZINE,Triazine,Insecticide,Insecticide,9B,IRAC,Antifeedants,328,1082,10,80
FLONICAMID,Unclassified,Insecticide,Insecticide,9C,IRAC,Unclassified,97,94,3,67
AZADIRACHTIN,Botanical,"Insecticide, Nematicide",Insecticide,UN,IRAC,Botanical,124,639,7,88
CRYOLITE,Inorganic,Insecticide,Insecticide,UN,IRAC,Fluorine,125,36257,8,35
DICOFOL,Organochlorine,"Insecticide, acaricide",Insecticide,UN,IRAC,Bridged diphenyl,885,11214,17,120
BIFENAZATE,Unclassified,Insecticide,Insecticide,UN,IRAC,Carbazate,166,364,7,100
FLUMETRALIN,"2,6-Dinitroaniline",Plant Growth Regulator,Plant Growth Regulator,MISSING,MISSING,Growth inhibitor,713,16505,21,41
ISOPROPALIN,"2,6-Dinitroaniline",Herbicide,Herbicide,MISSING,MISSING,Dinitroaniline,111,1633,5,25
DECAN-1-OL,Alcohol/Ether,Plant Growth Regulator,Plant Growth Regulator,MISSING,MISSING,NA,757,95949,21,99
FATTY ALCOHOLS,Alcohol/Ether,"Plant Growth Regulator, Adjuvant",Plant Growth Regulator,MISSING,MISSING,NA,53,2663,3,19
METALDEHYDE,Aldehyde,Molluscicide,Molluscicide,MISSING,MISSING,Molluscicide,206,2636,9,94
SAFLUFENACIL,Amide,Herbicide,Herbicide,MISSING,MISSING,"Amide, Uracil",372,18247,3,127
FLUOPYRAM,"Amide, Pyridine",Fungicide,Fungicide,MISSING,MISSING,"Amide, Pyridine",27,23,1,27
FLUXAPYROXAD,"Anilide, Pyrazole",Fungicide,Fungicide,MISSING,MISSING,"Amide, Pyrazole",70,1153,1,70
GENTAMICIN SULFATE,Antibiotic,Unknown,Antibiotic,MISSING,MISSING,NA,2,1,1,2
STREPTOMYCIN,Antibiotic,Microbiocide,Antibiotic,MISSING,MISSING,Antibiotic,2277,9787,21,126
STEINERNEMA CARPOCAP,Beneficial insect,Insecticide,Beneficial insect,MISSING,MISSING,NA,2,1,1,2
TEMBOTRIONE,Benzoylcyclohexanedione,Herbicide,Herbicide,MISSING,MISSING,Benzoylcyclohexanedione,542,24808,5,124
NOVALURON,Benzoylurea,"Herbicide, Insecticide",Insect Growth Regulator,MISSING,MISSING,Insect Growth Regulator,402,1195,8,82
6-BENZYLADENINE,Botanical,Plant Growth Regulator,Botanical,MISSING,MISSING,Cytokinin,1139,588,21,121
CYTOKININ,Botanical,Plant Growth Regulator,Botanical,MISSING,MISSING,Cytokinin,14,17,6,7
GARLIC JUICE,Botanical,Insecticide,Botanical,MISSING,MISSING,NA,4,33,2,2
GIBBERELLIC ACID,Botanical,Plant Growth Regulator,Botanical,MISSING,MISSING,Gibberellins,975,337,21,119
INDOLYL-BUTYRIC ACID,Botanical,Plant Growth Regulator,Botanical,MISSING,MISSING,Auxin,5,11,3,2
NAPHTHYLACETAMIDE,"Botanical, Naphthalene acetic acid derivative",Plant Growth Regulator,Botanical,MISSING,MISSING,Auxin,363,131,11,110
DIETHATYL,Chloroacetanilide,Herbicide,Herbicide,MISSING,MISSING,Amide,102,13137,5,58
DICHLOROPROPENE,Halogenated organic,"Fumigant, Nematicide",Fumigant,MISSING,MISSING,Fumigant,466,1656130,17,121
METHYL BROMIDE,Halogenated organic,"Fumigant, Insecticide, Herbicide, Nematicide",Fumigant,MISSING,MISSING,Fumigant,1113,2899250,17,125
AMMONIUM SULFAMATE,Inorganic,Herbicide,Inorganic,MISSING,MISSING,Inorganic,58,11549,1,58
BARIUM POLYSULFIDE,Inorganic,"Fungicide, Insecticide",Inorganic,MISSING,MISSING,Polysulfide,72,2124,3,72
CALCIUM CHLORIDE,Inorganic,"Dessicant, Fungicide, Herbicide, Insecticide, Microbiocide, Molluscicide, Plant Growth Regulator, Preservative ",Inorganic,MISSING,MISSING,NA,149,43871,3,85
CALCIUM POLYSULFIDE,Inorganic,"Fungicide, Insecticide",Inorganic,MISSING,MISSING,"Inorganic, polysulfide",1130,182238,19,111
CHLOROPICRIN,Inorganic,"Fumigant, Nematicide",Fumigant,MISSING,MISSING,Fumigant,734,917378,18,120
HYDRATED LIME,Inorganic,"pH Adjustment, Fungicide, Microbiocide, Herbicide",Inorganic,MISSING,MISSING,Algicide,102,20669,15,23
KAOLIN CLAY,Inorganic,"Insecticide, Adjuvant, Fungicide, Microbiocide",Inorganic,MISSING,MISSING,NA,68,66980,6,45
POTASSIUM BICARBONATE,Inorganic,Fungicide,Inorganic,MISSING,MISSING,NA,83,1164,10,64
SODIUM CHLORATE,Inorganic,"Defoliant, Herbicide, Microbiocide",Inorganic,MISSING,MISSING,Inorganic,174,259799,6,103
TETRABOROHYDRATE,Inorganic,Unknown,Inorganic,MISSING,MISSING,NA,24,4,1,24
TETRATHIOCARBONATE,Inorganic,"Fumigant, Fungicide, Nematicide",Fumigant,MISSING,MISSING,Fumigant,31,134096,2,31
BORDEAUX MIXTURE,Inorganic-Copper,"Algaecide, Fungicide, Molluscicide",Inorganic,MISSING,MISSING,Copper,75,274,1,75
COPPER HYDROXIDE,Inorganic-Copper,"Fungicide, Microbiocide, Nematicide",Inorganic,MISSING,MISSING,Copper,2631,686345,21,128
COPPER OXYCHLORIDE,Inorganic-Copper,Fungicide,Inorganic,MISSING,MISSING,Copper,156,7112,7,96
COPPER OXYCHLORIDE S,Inorganic-Copper,Fungicide,Inorganic,MISSING,MISSING,Copper,1882,64852,21,122
COPPER SULF TRIBASIC,Inorganic-Copper,"Algaecide, Fungicide, Molluscicide",Inorganic,MISSING,MISSING,Copper,1,17,1,1
COPPER SULFATE,Inorganic-Copper,"Algaecide, Fungicide, Molluscicide",Inorganic,MISSING,MISSING,Copper,2565,274635,21,128
ZINC,Inorganic-Zinc,Herbicide,Inorganic,MISSING,MISSING,NA,10,25,4,7
CYDIA POMONELLA,Insect virus,Insect Growth Regulator,Insect Growth Regulator,MISSING,MISSING,Lepidopteran attractant,100,23,5,44
PYRIPROXYFEN,Juvenile hormone mimic,Insect Growth Regulator,Insect Growth Regulator,MISSING,MISSING,Insect Growth Regulator,504,991,9,110
BACILLUS FIRMUS,Microbial,Nematicide,Microbial,MISSING,MISSING,NA,298,8110,3,124
BURKHOLDERIA CEPACIA,Microbial,Fungicide,Microbial,MISSING,MISSING,NA,3,1,3,1
CONIOTHYRIUM MINITANS,Microbial,Fungicide,Microbial,MISSING,MISSING,NA,5,3,3,2
HARPIN PROTEIN,Microbial,"Fungicide, Nematicide, Plant Growth Regulator",Microbial,MISSING,MISSING,NA,50,31,4,48
MYROTHECIUM VERRUCARIA,Microbial,"Insecticide, Nematicide",Microbial,MISSING,MISSING,NA,14,5633,1,14
BACILLUS PUMILIS,NA,NA,Microbial,MISSING,MISSING,NA,24,5,3,23
NAPHTHYLACETIC ACID,"Naphthalene acetic acid derivative, Botanical",Plant Growth Regulator,Plant Growth Regulator,MISSING,MISSING,Auxin,1465,1900,21,124
DIENOCHLOR,Organochlorine,Insecticide,Insecticide,MISSING,MISSING,Organochlorine,11,63,1,11
LINDANE,Organochlorine,"Insecticide, Rodenticide",Insecticide,MISSING,MISSING,Organochlorine,800,6678,10,128
ETHEPHON,Organophosphorus,Plant Growth Regulator,Plant Growth Regulator,MISSING,MISSING,"Defoliant, ethylene releaser",1654,40694,21,127
FONOFOS,Organophosphorus,Insecticide,Insecticide,MISSING,MISSING,Organophosphorus,927,594534,8,128
SULPROFOS,Organophosphorus,Insecticide,Insecticide,MISSING,MISSING,Organophosphorus,11,47,1,11
TOPRAMEZONE,Oxazole,Herbicide,Herbicide,MISSING,MISSING,"Oxazole, Pyrazole",703,3907,7,122
HYDROGEN PEROXIDE,"Peroxide, Inorganic","Microbiocide, Fungicide, Herbicide, Rodenticide",Inorganic,MISSING,MISSING,NA,365,2458,8,103
PETROLEUM OIL,Petroleum derivative-Aromatic,"Insecticide, Adjuvant, Herbicide, Fungicide",Petroleum,MISSING,MISSING,NA,2613,2628190,21,128
PETROLEUM DISTILLATE,Petroleum derivative-Saturated,"Herbicide, Plant Growth Regulator, Insecticide, Adjuvant, Solvent",Petroleum,MISSING,MISSING,NA,851,244584,14,122
FLUVALINATE-TAU,Pyrethroid,Insecticide,Insecticide,MISSING,MISSING,Pyrethroid,6,2,1,6
MEPIQUAT,Quaternary Ammonium Compound,Plant Growth Regulator,Plant Growth Regulator,MISSING,MISSING,Growth inhibitor,97,347,12,78
POTASSIUM OLEATE,Soap,Adjuvant,Adjuvant,MISSING,MISSING,NA,257,3480,7,101
SPINOSYN,"Spinosyn, Macrocyclic Lactone",Insecticide,Insecticide,MISSING,MISSING,Macrocyclic Lactone,850,3277,14,103
INDAZIFLAM,Triazine,Herbicide,Herbicide,MISSING,MISSING,Triazine,47,39,1,47
CHINOMETHIONAT,Unclassified,"Fumigant, Fungicide, Insecticide",Acaricide,MISSING,MISSING,Quinoxaline,185,349,9,73
ENDOTHAL,Unclassified,"Herbicide, Defoliant",Herbicide,MISSING,MISSING,Unclassified,222,30904,14,73
HEXYTHIAZOX,Unclassified,Insect Growth Regulator,Insect Growth Regulator,MISSING,MISSING,"Thiazolidine, Mite Growth Regulator",934,1567,13,122
MALEIC HYDRAZIDE,Unclassified,Plant Growth Regulator,Plant Growth Regulator,MISSING,MISSING,"Gametocide, growth inhibitor",1581,364020,21,111
METHYL ISOTHIOCYANATE,Unclassified,"Breakdown product, Fumigant, Herbicide, Insecticide, Nematicide",Inorganic,MISSING,MISSING,Inorganic,31,2643,3,30
PINOLENE,Unclassified,Insect Growth Regulator,Insect Growth Regulator,MISSING,MISSING,NA,2,22,1,2
PIPERONYL BUTOXIDE,Unclassified,"Insecticide, Synergist",Synergist,MISSING,MISSING,Synergist,427,13118,13,109
TRINEXAPAC,Unclassified,"Herbicide, Plant Growth Regulator",Plant Growth Regulator,MISSING,MISSING,Unclassified,20,180,1,20
AVIGLYCINE,Unknown,Plant Growth Regulator,Plant Growth Regulator,MISSING,MISSING,Ethylene inhibitor,918,354,16,118
DICHLONE,Unknown,Fungicide,Fungicide,MISSING,MISSING,Quinone,90,2124,2,45
NAPTHA,Unknown,"Chemical intermediate, Dye, Insect Repellent, Insecticide",Petroleum,MISSING,MISSING,NA,17,374,1,17
PROHEXADIONE,Unknown,Plant Growth Regulator,Plant Growth Regulator,MISSING,MISSING,Unclassified,1313,2757,13,125
PYRASULFOTOLE,Unknown,Herbicide,Herbicide,MISSING,MISSING,Pyrazole,286,4339,4,84
THIENCARBAZONE-METHYL,Unknown,Herbicide,Herbicide,MISSING,MISSING,Triazolone,496,14642,4,127
TRIDIPHANE,Unknown,Herbicide,Herbicide,MISSING,MISSING,Unclassified,262,31153,5,67
NORURON,Urea,Herbicide,Herbicide,MISSING,MISSING,Urea,4,69,1,4
