COMPOUND,ChemClassPAN,UseTypePAN,MOA,MOA_source,AlanWoodChemClass
ZETA-CYPERMETHRIN,Pyrethroid,Insecticide,3A,IRAC,Pyrethroid
METHOXYCHLOR,Organochlorine,Insecticide,3B,IRAC,Organochlorine
ACETAMIPRID,Neonicotinoid,Insecticide,4A,IRAC,Neonicotinoid
CLOTHIANIDIN,Neonicotinoid,Insecticide,4A,IRAC,Neonicotinoid
DINOTEFURAN,"Guanidine , Neonicotinoid",Insecticide,4A,IRAC,Neonicotinoid
IMIDACLOPRID,Neonicotinoid,Insecticide,4A,IRAC,Neonicotinoid
THIACLOPRID,Neonicotinoid,Insecticide,4A,IRAC,Neonicotinoid
THIAMETHOXAM,Neonicotinoid,Insecticide,4A,IRAC,Neonicotinoid
SODIUM METABORATE,Inorganic,Insecticide,8D,IRAC,Inorganic
PYMETROZINE,Triazine,Insecticide,9B,IRAC,Antifeedants
FLONICAMID,Unclassified,Insecticide,9C,IRAC,Unclassified
CLETHODIM,Cyclohexenone derivative,Herbicide,A,HRAC,Cyclohexene oxime
DICLOFOP,"Aryloxyphenoxy propionic acid , Chlorophenoxy acid or ester",Herbicide,A,HRAC,Phenoxy
FENOXAPROP,Aryloxyphenoxy propionic acid,Herbicide,A,HRAC,Phenoxy
FLUAZIFOP,Aryloxyphenoxy propionic acid,Herbicide,A,HRAC,Phenoxy
PINOXADEN,Unknown,Herbicide,A,HRAC,Pyrazole
QUIZALOFOP,Aryloxyphenoxy propionic acid,Herbicide,A,HRAC,Phenoxy
SETHOXYDIM,Cyclohexenone derivative,Herbicide,A,HRAC,Cyclohexene oxime
TRALKOXYDIM,Cyclohexenone derivative,Herbicide,A,HRAC,Cyclohexene oxime
MEFENOXAM,Xylylalanine,Fungicide,A1,FRAC,Amide
METALAXYL,Xylylalanine,Fungicide,A1,FRAC,Amide
THIFENSULFURON,Sulfonylurea,"Breakdown product, Herbicide",B,HRAC,Urea
CHLORIMURON,Sulfonylurea,Herbicide,B,HRAC,Urea
CHLORSULFURON,Sulfonylurea,Herbicide,B,HRAC,Urea
