COMPOUND,ChemClassPAN,UseTypePAN,MOA,MOA_source,AlanWoodChemClass
SPINOSYN,"Spinosyn, Macrocyclic Lactone",Insecticide,,,Macrocyclic Lactone
STEINERNEMA CARPOCAP,Beneficial insect,Insecticide,,,NA
SULPROFOS,Organophosphorus,Insecticide,,,Organophosphorus
KAOLIN CLAY,Inorganic,"Insecticide, Adjuvant, Fungicide, Microbiocide",,,NA
PETROLEUM OIL,Petroleum derivative-Aromatic,"Insecticide, Adjuvant, Herbicide, Fungicide",,,NA
MYROTHECIUM VERRUCARIA,Microbial,"Insecticide, Nematicide",,,NA
LINDANE,Organochlorine,"Insecticide, Rodenticide",,,Organochlorine
PIPERONYL BUTOXIDE,Unclassified,"Insecticide, Synergist",,,Synergist
STREPTOMYCIN,Antibiotic,Microbiocide,,,Antibiotic
HYDROGEN PEROXIDE,"Peroxide, Inorganic","Microbiocide, Fungicide, Herbicide, Rodenticide",,,NA
METALDEHYDE,Aldehyde,Molluscicide,,,Molluscicide
BACILLUS PUMILIS,NA,NA,,,NA
BACILLUS FIRMUS,Microbial,Nematicide,,,NA
HYDRATED LIME,Inorganic,"pH Adjustment, Fungicide, Microbiocide, Herbicide",,,Algicide
6-BENZYLADENINE,Botanical,Plant Growth Regulator,,,Cytokinin
AVIGLYCINE,Unknown,Plant Growth Regulator,,,Ethylene inhibitor
CYTOKININ,Botanical,Plant Growth Regulator,,,Cytokinin
DECAN-1-OL,Alcohol/Ether,Plant Growth Regulator,,,NA
ETHEPHON,Organophosphorus,Plant Growth Regulator,,,"Defoliant, ethylene releaser"
FLUMETRALIN,"2,6-Dinitroaniline",Plant Growth Regulator,,,Growth inhibitor
GIBBERELLIC ACID,Botanical,Plant Growth Regulator,,,Gibberellins
INDOLYL-BUTYRIC ACID,Botanical,Plant Growth Regulator,,,Auxin
MALEIC HYDRAZIDE,Unclassified,Plant Growth Regulator,,,"Gametocide, growth inhibitor"
MEPIQUAT,Quaternary Ammonium Compound,Plant Growth Regulator,,,Growth inhibitor
NAPHTHYLACETAMIDE,"Botanical, Naphthalene acetic acid derivative",Plant Growth Regulator,,,Auxin
NAPHTHYLACETIC ACID,"Naphthalene acetic acid derivative, Botanical",Plant Growth Regulator,,,Auxin
PROHEXADIONE,Unknown,Plant Growth Regulator,,,Unclassified
FATTY ALCOHOLS,Alcohol/Ether,"Plant Growth Regulator, Adjuvant",,,NA
GENTAMICIN SULFATE,Antibiotic,Unknown,,,NA
TETRABOROHYDRATE,Inorganic,Unknown,,,NA
